date,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M,site,zone,doy_sin,doy_cos,month,season,ghi_lag1,ghi_lag2,ghi_lag3,ghi_lag4,ghi_lag5,ghi_lag6,ghi_lag7,ghi_roll7,ghi_roll30
2005-01-01,4.5617,24.31,80.2,75.06,2.46,1.19,kumasi,forest,0.017201575418260506,0.9998520419557735,1,harmattan_dry,,,,,,,,,
2005-01-02,5.622,23.93,56.7,24.24,0.48,1.94,kumasi,forest,0.03439806061360801,0.9994082116062598,1,harmattan_dry,4.5617,,,,,,,,
2005-01-03,5.7761,23.5,57.01,32.14,0.0,1.87,kumasi,forest,0.051584366869408364,0.9986686402879997,1,harmattan_dry,5.622,4.5617,,,,,,,
2005-01-04,5.3246,23.75,58.65,29.92,0.0,1.31,kumasi,forest,0.06875540848113941,0.9976335468520451,1,harmattan_dry,5.7761,5.622,4.5617,,,,,,
2005-01-05,5.0484,25.32,69.04,41.66,0.61,1.66,kumasi,forest,0.08590610426133272,0.9963032375991965,1,harmattan_dry,5.3246,5.7761,5.622,4.5617,,,,,
2005-01-06,5.0873,24.37,67.59,13.1,0.0,2.16,kumasi,forest,0.10303137904317879,0.9946781061893646,1,harmattan_dry,5.0484,5.3246,5.7761,5.622,4.5617,,,,
2005-01-07,4.1282,22.56,63.3,39.92,0.0,2.53,kumasi,forest,0.1201261651823505,0.9927586335250793,1,harmattan_dry,5.0873,5.0484,5.3246,5.7761,5.622,4.5617,,5.078328571428571,
2005-01-08,3.3713,20.24,63.39,80.62,0.0,2.55,kumasi,forest,0.13718540405660057,0.9905453876091833,1,harmattan_dry,4.1282,5.0873,5.0484,5.3246,5.7761,5.622,4.5617,4.908271428571429,
2005-01-09,4.7102,20.3,58.16,52.97,0.0,2.34,kumasi,forest,0.1542040475626894,0.988039023376751,1,harmattan_dry,3.3713,4.1282,5.0873,5.0484,5.3246,5.7761,5.622,4.778014285714286,
2005-01-10,5.2462,20.93,53.64,40.77,0.0,2.49,kumasi,forest,0.17117705961019986,0.985240282501282,1,harmattan_dry,4.7102,3.3713,4.1282,5.0873,5.0484,5.3246,5.7761,4.7023142857142854,
2005-01-11,3.9365,21.0,55.28,68.47,0.0,2.52,kumasi,forest,0.18809941761179758,0.9821499931752291,1,harmattan_dry,5.2462,4.7102,3.3713,4.1282,5.0873,5.0484,5.3246,4.504014285714286,
2005-01-12,3.7682,21.16,55.31,57.83,0.0,2.35,kumasi,forest,0.20496611396949532,0.9787690698649216,1,harmattan_dry,3.9365,5.2462,4.7102,3.3713,4.1282,5.0873,5.0484,4.321128571428572,
2005-01-13,4.0862,20.19,59.37,48.03,0.0,1.71,kumasi,forest,0.22177215755648186,0.975098513039961,1,harmattan_dry,3.7682,3.9365,5.2462,4.7102,3.3713,4.1282,5.0873,4.178114285714286,
2005-01-14,3.8671,21.56,57.62,60.63,0.0,1.71,kumasi,forest,0.23851257519407648,0.9711394088771653,1,harmattan_dry,4.0862,3.7682,3.9365,5.2462,4.7102,3.3713,4.1282,4.140814285714286,
