date,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M,site,zone,doy_sin,doy_cos,month,season,ghi_lag1,ghi_lag2,ghi_lag3,ghi_lag4,ghi_lag5,ghi_lag6,ghi_lag7,ghi_roll7,ghi_roll30
2005-01-01,5.6616,25.34,19.85,9.47,0.0,3.44,navrongo,sudan_savannah,0.017201575418260506,0.9998520419557735,1,harmattan_dry,,,,,,,,,
2005-01-02,5.8642,24.53,17.06,6.95,0.0,3.2,navrongo,sudan_savannah,0.03439806061360801,0.9994082116062598,1,harmattan_dry,5.6616,,,,,,,,
2005-01-03,5.8056,24.58,17.62,26.42,0.0,2.82,navrongo,sudan_savannah,0.051584366869408364,0.9986686402879997,1,harmattan_dry,5.8642,5.6616,,,,,,,
2005-01-04,5.4173,25.54,22.9,34.3,0.0,2.81,navrongo,sudan_savannah,0.06875540848113941,0.9976335468520451,1,harmattan_dry,5.8056,5.8642,5.6616,,,,,,
2005-01-05,4.9723,25.45,24.24,29.68,0.0,3.4,navrongo,sudan_savannah,0.08590610426133272,0.9963032375991965,1,harmattan_dry,5.4173,5.8056,5.8642,5.6616,,,,,
2005-01-06,5.0904,25.2,23.56,16.61,0.0,4.57,navrongo,sudan_savannah,0.10303137904317879,0.9946781061893646,1,harmattan_dry,4.9723,5.4173,5.8056,5.8642,5.6616,,,,
2005-01-07,4.0783,23.62,23.7,12.66,0.0,4.33,navrongo,sudan_savannah,0.1201261651823505,0.9927586335250793,1,harmattan_dry,5.0904,4.9723,5.4173,5.8056,5.8642,5.6616,,5.269957142857143,
2005-01-08,4.0954,22.94,20.56,25.8,0.0,4.74,navrongo,sudan_savannah,0.13718540405660057,0.9905453876091833,1,harmattan_dry,4.0783,5.0904,4.9723,5.4173,5.8056,5.8642,5.6616,5.046214285714285,
2005-01-09,4.919,21.51,19.66,27.21,0.0,4.17,navrongo,sudan_savannah,0.1542040475626894,0.988039023376751,1,harmattan_dry,4.0954,4.0783,5.0904,4.9723,5.4173,5.8056,5.8642,4.911185714285714,
2005-01-10,4.6421,21.78,20.82,48.19,0.0,3.95,navrongo,sudan_savannah,0.17117705961019986,0.985240282501282,1,harmattan_dry,4.919,4.0954,4.0783,5.0904,4.9723,5.4173,5.8056,4.744971428571428,
2005-01-11,3.2299,21.62,22.74,87.58,0.0,3.75,navrongo,sudan_savannah,0.18809941761179758,0.9821499931752291,1,harmattan_dry,4.6421,4.919,4.0954,4.0783,5.0904,4.9723,5.4173,4.432485714285714,
2005-01-12,3.0418,21.45,22.94,86.05,0.0,3.27,navrongo,sudan_savannah,0.20496611396949532,0.9787690698649216,1,harmattan_dry,3.2299,4.6421,4.919,4.0954,4.0783,5.0904,4.9723,4.1567,
2005-01-13,3.8633,22.18,18.9,30.4,0.0,3.37,navrongo,sudan_savannah,0.22177215755648186,0.975098513039961,1,harmattan_dry,3.0418,3.2299,4.6421,4.919,4.0954,4.0783,5.0904,3.9814000000000003,
2005-01-14,4.5101,22.15,19.07,76.09,0.0,2.87,navrongo,sudan_savannah,0.23851257519407648,0.9711394088771653,1,harmattan_dry,3.8633,3.0418,3.2299,4.6421,4.919,4.0954,4.0783,4.043085714285715,
2005-01-15,5.2128,23.15,17.44,46.51,0.0,2.33,navrongo,sudan_savannah,0.2551824131233728,0.9668929289391521,1,harmattan_dry,4.5101,3.8633,3.0418,3.2299,4.6421,4.919,4.0954,4.202714285714285,
2005-01-16,4.5948,24.36,18.94,54.59,0.0,2.79,navrongo,sudan_savannah,0.2717767384711357,0.9623603298276545,1,harmattan_dry,5.2128,4.5101,3.8633,3.0418,3.2299,4.6421,4.919,4.1564,
2005-01-17,5.657,23.89,19.9,29.48,0.0,3.21,navrongo,sudan_savannah,0.2882906407095177,0.9575429528116719,1,harmattan_dry,4.5948,5.2128,4.5101,3.8633,3.0418,3.2299,4.6421,4.301385714285714,
2005-01-18,5.5123,24.39,17.18,26.7,0.0,4.37,navrongo,sudan_savannah,0.3047192331091634,0.9524422234305676,1,harmattan_dry,5.657,4.5948,5.2128,4.5101,3.8633,3.0418,3.2299,4.627442857142857,
2005-01-19,5.9198,24.58,14.45,31.93,0.0,3.59,navrongo,sudan_savannah,0.321057654185271,0.9470596510722283,1,harmattan_dry,5.5123,5.657,4.5948,5.2128,4.5101,3.8633,3.0418,5.0385857142857144,
