date,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M,site,zone,doy_sin,doy_cos,month,season,ghi_lag1,ghi_lag2,ghi_lag3,ghi_lag4,ghi_lag5,ghi_lag6,ghi_lag7,ghi_roll7,ghi_roll30
2005-01-01,4.9068,26.45,86.51,52.21,4.91,1.43,takoradi,coastal,0.017201575418260506,0.9998520419557735,1,harmattan_dry,,,,,,,,,
2005-01-02,5.8013,26.14,76.13,9.03,1.27,1.27,takoradi,coastal,0.03439806061360801,0.9994082116062598,1,harmattan_dry,4.9068,,,,,,,,
2005-01-03,5.76,26.89,67.8,7.18,0.01,0.92,takoradi,coastal,0.051584366869408364,0.9986686402879997,1,harmattan_dry,5.8013,4.9068,,,,,,,
2005-01-04,5.3964,26.91,72.4,13.45,0.02,0.97,takoradi,coastal,0.06875540848113941,0.9976335468520451,1,harmattan_dry,5.76,5.8013,4.9068,,,,,,
2005-01-05,4.0591,27.02,77.92,67.9,0.23,0.92,takoradi,coastal,0.08590610426133272,0.9963032375991965,1,harmattan_dry,5.3964,5.76,5.8013,4.9068,,,,,
2005-01-06,4.9632,26.84,82.91,39.9,2.76,0.97,takoradi,coastal,0.10303137904317879,0.9946781061893646,1,harmattan_dry,4.0591,5.3964,5.76,5.8013,4.9068,,,,
2005-01-07,4.4436,25.46,74.02,37.37,0.08,1.19,takoradi,coastal,0.1201261651823505,0.9927586335250793,1,harmattan_dry,4.9632,4.0591,5.3964,5.76,5.8013,4.9068,,5.047199999999999,
2005-01-08,3.4618,23.97,68.3,37.27,0.0,2.36,takoradi,coastal,0.13718540405660057,0.9905453876091833,1,harmattan_dry,4.4436,4.9632,4.0591,5.3964,5.76,5.8013,4.9068,4.840771428571428,
2005-01-09,3.9854,23.26,62.89,32.78,0.0,2.23,takoradi,coastal,0.1542040475626894,0.988039023376751,1,harmattan_dry,3.4618,4.4436,4.9632,4.0591,5.3964,5.76,5.8013,4.581357142857143,
2005-01-10,4.7254,23.89,60.26,43.76,0.0,2.04,takoradi,coastal,0.17117705961019986,0.985240282501282,1,harmattan_dry,3.9854,3.4618,4.4436,4.9632,4.0591,5.3964,5.76,4.4335571428571425,
2005-01-11,4.0956,23.93,61.41,82.24,0.0,1.75,takoradi,coastal,0.18809941761179758,0.9821499931752291,1,harmattan_dry,4.7254,3.9854,3.4618,4.4436,4.9632,4.0591,5.3964,4.2477285714285715,
2005-01-12,3.5534,23.71,60.67,67.15,0.01,1.74,takoradi,coastal,0.20496611396949532,0.9787690698649216,1,harmattan_dry,4.0956,4.7254,3.9854,3.4618,4.4436,4.9632,4.0591,4.175485714285714,
2005-01-13,3.8518,23.5,58.8,43.78,0.0,1.27,takoradi,coastal,0.22177215755648186,0.975098513039961,1,harmattan_dry,3.5534,4.0956,4.7254,3.9854,3.4618,4.4436,4.9632,4.0167142857142855,
2005-01-14,4.0318,24.15,62.27,37.93,0.0,1.26,takoradi,coastal,0.23851257519407648,0.9711394088771653,1,harmattan_dry,3.8518,3.5534,4.0956,4.7254,3.9854,3.4618,4.4436,3.9578857142857147,
2005-01-15,4.6541,25.61,66.84,11.02,0.0,1.17,takoradi,coastal,0.2551824131233728,0.9668929289391521,1,harmattan_dry,4.0318,3.8518,3.5534,4.0956,4.7254,3.9854,3.4618,4.128214285714286,
2005-01-16,4.3044,26.38,72.04,17.37,0.0,0.98,takoradi,coastal,0.2717767384711357,0.9623603298276545,1,harmattan_dry,4.6541,4.0318,3.8518,3.5534,4.0956,4.7254,3.9854,4.173785714285714,
2005-01-17,4.5017,27.39,76.38,27.17,0.22,1.25,takoradi,coastal,0.2882906407095177,0.9575429528116719,1,harmattan_dry,4.3044,4.6541,4.0318,3.8518,3.5534,4.0956,4.7254,4.1418285714285705,
2005-01-18,4.8286,27.52,72.88,16.82,0.18,0.98,takoradi,coastal,0.3047192331091634,0.9524422234305676,1,harmattan_dry,4.5017,4.3044,4.6541,4.0318,3.8518,3.5534,4.0956,4.246542857142857,
2005-01-19,5.1094,26.48,70.96,28.14,0.01,0.99,takoradi,coastal,0.321057654185271,0.9470596510722283,1,harmattan_dry,4.8286,4.5017,4.3044,4.6541,4.0318,3.8518,3.5534,4.468828571428571,
2005-01-20,5.0021,27.11,74.22,29.36,0.03,1.7,takoradi,coastal,0.3373010691361842,0.9413968285264122,1,harmattan_dry,5.1094,4.8286,4.5017,4.3044,4.6541,4.0318,3.8518,4.633157142857143,
2005-01-21,5.4451,27.08,72.08,36.16,0.03,1.85,takoradi,coastal,0.3534446712740877,0.9354554315134164,1,harmattan_dry,5.0021,5.1094,4.8286,4.5017,4.3044,4.6541,4.0318,4.835057142857143,
2005-01-22,5.6371,27.48,77.05,52.58,0.08,1.93,takoradi,coastal,0.3694836834473831,0.9292372181882051,1,harmattan_dry,5.4451,5.0021,5.1094,4.8286,4.5017,4.3044,4.6541,4.975485714285715,
2005-01-23,5.706,27.97,76.88,31.65,0.07,1.45,takoradi,coastal,0.38541335945432564,0.9227440286201427,1,harmattan_dry,5.6371,5.4451,5.0021,5.1094,4.8286,4.5017,4.3044,5.175714285714285,
2005-01-24,5.376,27.42,79.57,50.58,2.05,1.52,takoradi,coastal,0.4012289854475009,0.9159777842484877,1,harmattan_dry,5.706,5.6371,5.4451,5.0021,5.1094,4.8286,4.5017,5.300614285714286,
2005-01-25,1.8607,26.85,82.03,91.87,3.59,1.53,takoradi,coastal,0.4169258813287287,0.908940487313808,1,harmattan_dry,5.376,5.706,5.6371,5.4451,5.0021,5.1094,4.8286,4.87662857142857,
2005-01-26,5.6249,27.38,78.94,19.81,1.29,1.7,takoradi,coastal,0.4324994021339788,0.901634220265486,1,harmattan_dry,1.8607,5.376,5.706,5.6371,5.4451,5.0021,5.1094,4.950271428571428,
2005-01-27,5.4847,26.92,85.34,35.54,1.2,1.89,takoradi,coastal,0.44794493940789115,0.8940611451454876,1,harmattan_dry,5.6249,1.8607,5.376,5.706,5.6371,5.4451,5.0021,5.019214285714286,
2005-01-28,5.5327,26.99,84.37,31.09,1.15,1.78,takoradi,coastal,0.4632579225674917,0.88622350294858,1,harmattan_dry,5.4847,5.6249,1.8607,5.376,5.706,5.6371,5.4451,5.031728571428572,
2005-01-29,6.2786,27.49,80.41,8.46,0.89,1.67,takoradi,coastal,0.4784338202547012,0.8781236129591848,1,harmattan_dry,5.5327,5.4847,5.6249,1.8607,5.376,5.706,5.6371,5.12337142857143,
2005-01-30,5.232,27.5,81.31,43.27,2.25,1.76,takoradi,coastal,0.49346814167723735,0.8697638720650646,1,harmattan_dry,6.2786,5.5327,5.4847,5.6249,1.8607,5.376,5.706,5.055657142857143,4.787123333333333
2005-01-31,5.5231,26.82,84.53,60.97,1.64,1.35,takoradi,coastal,0.5083564379375122,0.8611467540480452,1,harmattan_dry,5.232,6.2786,5.5327,5.4847,5.6249,1.8607,5.376,5.076671428571429,4.807666666666666
2005-02-01,5.5219,28.04,77.3,28.84,0.47,1.4,takoradi,coastal,0.5230943033491326,0.8522748088519838,2,harmattan_dry,5.5231,5.232,6.2786,5.5327,5.4847,5.6249,1.8607,5.5997,4.798353333333334
2005-02-02,5.496,28.33,79.15,32.72,0.74,2.02,takoradi,coastal,0.5376773767406141,0.8431506618282,2,harmattan_dry,5.5219,5.5231,5.232,6.2786,5.5327,5.4847,5.6249,5.581285714285714,4.789553333333333
2005-02-03,6.0312,28.62,75.75,4.96,0.18,1.84,takoradi,coastal,0.5521013427459208,0.8337770129585915,2,harmattan_dry,5.496,5.5219,5.5231,5.232,6.2786,5.5327,5.4847,5.659357142857142,4.810713333333334
2005-02-04,5.7614,28.6,76.06,19.74,0.7,2.17,takoradi,coastal,0.5663619330814524,0.8241566360566663,2,harmattan_dry,6.0312,5.496,5.5219,5.5231,5.232,6.2786,5.5327,5.692028571428572,4.867456666666667
