date,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M,site,zone,doy_sin,doy_cos,month,season,ghi_lag1,ghi_lag2,ghi_lag3,ghi_lag4,ghi_lag5,ghi_lag6,ghi_lag7,ghi_roll7,ghi_roll30
2005-01-01,5.4614,24.97,40.66,17.86,0.0,2.61,tamale,guinea_savannah,0.017201575418260506,0.9998520419557735,1,harmattan_dry,,,,,,,,,
2005-01-02,5.9016,23.8,36.74,6.53,0.0,2.85,tamale,guinea_savannah,0.03439806061360801,0.9994082116062598,1,harmattan_dry,5.4614,,,,,,,,
2005-01-03,5.8891,23.4,36.12,18.88,0.0,2.76,tamale,guinea_savannah,0.051584366869408364,0.9986686402879997,1,harmattan_dry,5.9016,5.4614,,,,,,,
2005-01-04,5.2498,24.34,41.33,20.08,0.0,2.35,tamale,guinea_savannah,0.06875540848113941,0.9976335468520451,1,harmattan_dry,5.8891,5.9016,5.4614,,,,,,
2005-01-05,4.7993,24.31,45.65,4.06,0.0,2.74,tamale,guinea_savannah,0.08590610426133272,0.9963032375991965,1,harmattan_dry,5.2498,5.8891,5.9016,5.4614,,,,,
2005-01-06,5.1941,23.93,42.29,8.2,0.0,4.12,tamale,guinea_savannah,0.10303137904317879,0.9946781061893646,1,harmattan_dry,4.7993,5.2498,5.8891,5.9016,5.4614,,,,
2005-01-07,3.6118,22.38,41.16,6.3,0.0,3.9,tamale,guinea_savannah,0.1201261651823505,0.9927586335250793,1,harmattan_dry,5.1941,4.7993,5.2498,5.8891,5.9016,5.4614,,5.158157142857143,
2005-01-08,3.8592,21.66,38.35,11.99,0.0,4.13,tamale,guinea_savannah,0.13718540405660057,0.9905453876091833,1,harmattan_dry,3.6118,5.1941,4.7993,5.2498,5.8891,5.9016,5.4614,4.929271428571428,
2005-01-09,4.7952,20.31,38.82,13.06,0.0,3.6,tamale,guinea_savannah,0.1542040475626894,0.988039023376751,1,harmattan_dry,3.8592,3.6118,5.1941,4.7993,5.2498,5.8891,5.9016,4.771214285714286,
2005-01-10,4.9042,20.34,41.48,39.6,0.0,3.42,tamale,guinea_savannah,0.17117705961019986,0.985240282501282,1,harmattan_dry,4.7952,3.8592,3.6118,5.1941,4.7993,5.2498,5.8891,4.630514285714286,
2005-01-11,3.1092,20.86,40.66,79.31,0.0,3.39,tamale,guinea_savannah,0.18809941761179758,0.9821499931752291,1,harmattan_dry,4.9042,4.7952,3.8592,3.6118,5.1941,4.7993,5.2498,4.324714285714285,
2005-01-12,3.2088,20.47,41.66,95.6,0.0,3.09,tamale,guinea_savannah,0.20496611396949532,0.9787690698649216,1,harmattan_dry,3.1092,4.9042,4.7952,3.8592,3.6118,5.1941,4.7993,4.0975,
2005-01-13,3.9648,20.43,42.26,45.55,0.0,2.67,tamale,guinea_savannah,0.22177215755648186,0.975098513039961,1,harmattan_dry,3.2088,3.1092,4.9042,4.7952,3.8592,3.6118,5.1941,3.921885714285714,
2005-01-14,3.8542,19.91,42.39,62.82,0.0,2.42,tamale,guinea_savannah,0.23851257519407648,0.9711394088771653,1,harmattan_dry,3.9648,3.2088,3.1092,4.9042,4.7952,3.8592,3.6118,3.956514285714286,
2005-01-15,4.5922,21.61,40.22,40.97,0.0,1.95,tamale,guinea_savannah,0.2551824131233728,0.9668929289391521,1,harmattan_dry,3.8542,3.9648,3.2088,3.1092,4.9042,4.7952,3.8592,4.061228571428571,
2005-01-16,5.1535,22.11,41.1,24.87,0.0,2.2,tamale,guinea_savannah,0.2717767384711357,0.9623603298276545,1,harmattan_dry,4.5922,3.8542,3.9648,3.2088,3.1092,4.9042,4.7952,4.112414285714286,
2005-01-17,5.3503,23.18,40.49,2.67,0.0,2.88,tamale,guinea_savannah,0.2882906407095177,0.9575429528116719,1,harmattan_dry,5.1535,4.5922,3.8542,3.9648,3.2088,3.1092,4.9042,4.176142857142857,
2005-01-18,5.4218,22.75,35.92,8.37,0.0,3.82,tamale,guinea_savannah,0.3047192331091634,0.9524422234305676,1,harmattan_dry,5.3503,5.1535,4.5922,3.8542,3.9648,3.2088,3.1092,4.506514285714286,
2005-01-19,5.406,22.84,33.41,16.57,0.0,3.31,tamale,guinea_savannah,0.321057654185271,0.9470596510722283,1,harmattan_dry,5.4218,5.3503,5.1535,4.5922,3.8542,3.9648,3.2088,4.8204,
2005-01-20,5.1828,23.11,34.84,40.04,0.0,2.25,tamale,guinea_savannah,0.3373010691361842,0.9413968285264122,1,harmattan_dry,5.406,5.4218,5.3503,5.1535,4.5922,3.8542,3.9648,4.9944,
2005-01-21,6.0427,23.61,29.87,40.04,0.0,2.71,tamale,guinea_savannah,0.3534446712740877,0.9354554315134164,1,harmattan_dry,5.1828,5.406,5.4218,5.3503,5.1535,4.5922,3.8542,5.307042857142856,
2005-01-22,4.2086,23.73,30.73,86.01,0.0,2.38,tamale,guinea_savannah,0.3694836834473831,0.9292372181882051,1,harmattan_dry,6.0427,5.1828,5.406,5.4218,5.3503,5.1535,4.5922,5.252242857142858,
2005-01-23,5.2742,25.21,41.92,12.35,0.0,1.55,tamale,guinea_savannah,0.38541335945432564,0.9227440286201427,1,harmattan_dry,4.2086,6.0427,5.1828,5.406,5.4218,5.3503,5.1535,5.2694857142857146,
2005-01-24,5.2637,26.65,52.8,16.57,1.04,1.53,tamale,guinea_savannah,0.4012289854475009,0.9159777842484877,1,harmattan_dry,5.2742,4.2086,6.0427,5.1828,5.406,5.4218,5.3503,5.2571142857142865,
2005-01-25,5.1365,27.74,55.14,44.68,1.09,1.03,tamale,guinea_savannah,0.4169258813287287,0.908940487313808,1,harmattan_dry,5.2637,5.2742,4.2086,6.0427,5.1828,5.406,5.4218,5.2163571428571425,
2005-01-26,5.1638,28.35,53.63,67.45,0.15,1.02,tamale,guinea_savannah,0.4324994021339788,0.901634220265486,1,harmattan_dry,5.1365,5.2637,5.2742,4.2086,6.0427,5.1828,5.406,5.181757142857143,
2005-01-27,4.3039,28.59,59.4,79.14,0.26,2.7,tamale,guinea_savannah,0.44794493940789115,0.8940611451454876,1,harmattan_dry,5.1638,5.1365,5.2637,5.2742,4.2086,6.0427,5.1828,5.0562,
2005-01-28,4.0025,27.75,66.3,79.49,0.64,2.1,tamale,guinea_savannah,0.4632579225674917,0.88622350294858,1,harmattan_dry,4.3039,5.1638,5.1365,5.2637,5.2742,4.2086,6.0427,4.764742857142857,
2005-01-29,4.3601,29.03,56.84,64.97,0.26,1.41,tamale,guinea_savannah,0.4784338202547012,0.8781236129591848,1,harmattan_dry,4.0025,4.3039,5.1638,5.1365,5.2637,5.2742,4.2086,4.786385714285714,
