YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M
2005,1,1,5.2625,26.82,85.64,47.32,5.05,1.76
2005,1,2,5.8656,26.32,71.6,12.33,1.08,2.12
2005,1,3,5.7005,26.75,77.16,1.61,0.01,1.35
2005,1,4,5.8726,27.05,77.45,5.2,0.26,1.37
2005,1,5,4.7381,27.02,83.28,51.57,1.25,1.47
2005,1,6,5.0014,27.0,76.57,41.14,0.58,1.66
2005,1,7,4.6589,25.46,69.32,22.14,0.0,2.21
2005,1,8,3.8582,25.03,60.78,27.2,0.0,3.97
2005,1,9,4.8574,24.46,58.97,7.53,0.0,3.91
2005,1,10,5.1818,25.15,59.15,25.34,0.0,3.24
2005,1,11,4.1422,24.82,61.76,67.52,0.0,2.87
2005,1,12,3.9041,25.05,59.03,63.09,0.0,2.6
2005,1,13,4.1791,24.99,58.67,36.13,0.0,2.02
2005,1,14,4.6231,25.35,64.23,42.24,0.0,1.66
2005,1,15,4.5098,26.45,71.43,20.38,0.0,1.27
2005,1,16,4.6675,26.23,73.98,8.37,0.0,1.56
2005,1,17,4.9174,26.67,81.08,15.14,0.0,1.78
2005,1,18,4.7042,27.06,69.49,16.26,0.0,1.95
2005,1,19,5.046,26.31,66.36,27.08,0.0,1.49
2005,1,20,5.065,26.86,75.55,33.71,0.0,2.13
2005,1,21,5.5596,27.36,61.05,37.42,0.0,2.1
2005,1,22,5.707,27.29,76.75,55.87,0.01,2.8
2005,1,23,5.5099,27.05,83.07,54.1,0.04,1.8
2005,1,24,5.0558,26.95,82.05,52.25,0.72,1.95
2005,1,25,4.2667,27.26,82.0,86.27,1.07,2.27
2005,1,26,5.3482,27.43,83.56,33.74,0.5,2.55
2005,1,27,5.1574,27.35,85.25,34.59,0.42,2.82
2005,1,28,5.2404,27.37,84.53,41.86,0.3,2.57
2005,1,29,5.7905,27.75,82.18,14.8,0.32,2.68
2005,1,30,5.2879,28.04,82.51,44.44,1.2,2.91
2005,1,31,5.3477,27.3,83.56,77.81,0.7,1.91
2005,2,1,5.5896,28.11,76.02,33.5,0.08,2.31
2005,2,2,5.7967,28.05,82.92,34.05,0.18,3.1
2005,2,3,5.3114,28.26,79.45,15.9,0.06,2.64
2005,2,4,5.573,28.2,81.07,22.21,0.29,3.17
2005,2,5,4.8202,27.79,85.23,58.64,3.37,3.66
2005,2,6,2.7756,27.08,84.24,97.96,3.27,3.58
2005,2,7,5.5322,27.43,80.2,61.06,0.3,3.44
2005,2,8,5.4456,27.08,87.13,60.19,1.42,2.82
2005,2,9,5.129,27.17,87.02,44.51,2.72,2.57
2005,2,10,5.8183,27.96,83.49,33.78,0.82,2.1
2005,2,11,5.2987,28.13,83.8,23.81,0.74,2.57
2005,2,12,4.6274,28.23,83.09,93.46,0.96,2.95
