YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M
2005,1,1,4.5617,24.31,80.2,75.06,2.46,1.19
2005,1,2,5.622,23.93,56.7,24.24,0.48,1.94
2005,1,3,5.7761,23.5,57.01,32.14,0.0,1.87
2005,1,4,5.3246,23.75,58.65,29.92,0.0,1.31
2005,1,5,5.0484,25.32,69.04,41.66,0.61,1.66
2005,1,6,5.0873,24.37,67.59,13.1,0.0,2.16
2005,1,7,4.1282,22.56,63.3,39.92,0.0,2.53
2005,1,8,3.3713,20.24,63.39,80.62,0.0,2.55
2005,1,9,4.7102,20.3,58.16,52.97,0.0,2.34
2005,1,10,5.2462,20.93,53.64,40.77,0.0,2.49
2005,1,11,3.9365,21.0,55.28,68.47,0.0,2.52
2005,1,12,3.7682,21.16,55.31,57.83,0.0,2.35
2005,1,13,4.0862,20.19,59.37,48.03,0.0,1.71
2005,1,14,3.8671,21.56,57.62,60.63,0.0,1.71
2005,1,15,4.7472,23.05,54.13,43.46,0.0,1.34
2005,1,16,4.8048,23.87,48.94,21.93,0.0,1.21
2005,1,17,4.9534,24.75,66.02,31.62,0.0,1.2
2005,1,18,5.3638,23.71,54.83,22.59,0.0,2.64
2005,1,19,5.3717,23.26,50.4,34.29,0.0,2.2
2005,1,20,4.866,25.25,47.69,34.11,0.0,0.87
2005,1,21,5.8642,25.09,40.32,50.43,0.0,1.47
2005,1,22,4.9363,25.62,41.48,84.87,0.0,0.93
2005,1,23,5.2656,26.53,62.12,36.16,0.14,1.04
2005,1,24,5.1019,26.48,77.31,57.37,0.64,1.64
2005,1,25,4.5331,26.5,75.26,87.8,0.45,0.94
2005,1,26,5.0138,27.24,70.02,38.42,1.06,1.08
2005,1,27,4.7484,26.0,82.52,44.82,1.0,1.71
2005,1,28,4.2216,26.17,79.53,80.67,1.46,1.36
2005,1,29,5.5469,26.95,71.67,42.49,0.47,1.19
2005,1,30,4.9397,27.09,75.91,57.75,3.36,1.21
2005,1,31,5.1238,26.51,76.88,54.82,0.66,1.0
2005,2,1,5.7708,27.68,57.71,34.42,0.29,2.18
2005,2,2,5.5889,27.25,66.85,35.85,0.9,1.49
2005,2,3,5.4797,28.5,70.71,32.07,0.48,1.65
2005,2,4,4.5998,28.98,68.25,51.05,0.58,1.34
2005,2,5,5.0054,28.26,73.01,40.12,2.6,2.66
2005,2,6,4.2226,25.88,85.88,88.08,3.39,2.8
2005,2,7,5.3513,26.02,76.14,66.76,0.57,1.89
2005,2,8,4.1988,26.66,74.48,82.59,1.36,1.67
2005,2,9,4.1875,27.01,78.19,75.01,3.99,1.76
2005,2,10,5.7101,28.19,71.98,41.05,1.59,1.2
2005,2,11,5.6134,28.78,70.47,38.92,1.14,1.05
2005,2,12,4.1054,27.88,75.54,75.77,2.39,1.55
2005,2,13,4.5691,27.55,77.41,72.12,1.25,1.11
2005,2,14,4.1422,28.69,69.55,62.3,0.84,1.36
2005,2,15,4.9992,28.84,60.84,37.6,0.96,1.61
2005,2,16,5.1506,28.03,69.03,38.79,0.76,1.93
2005,2,17,4.8737,28.85,70.71,32.43,1.03,1.86
2005,2,18,3.9487,28.66,73.65,48.63,1.0,1.73
2005,2,19,4.1885,28.54,74.92,62.18,1.54,1.71
2005,2,20,5.1761,27.77,78.15,58.78,0.32,1.38
2005,2,21,3.6737,28.21,73.92,82.88,0.71,2.45
2005,2,22,4.5886,28.39,71.98,88.56,0.96,1.02
2005,2,23,5.7038,29.88,62.96,39.2,0.41,1.62
2005,2,24,4.7801,29.2,69.36,65.29,0.81,2.34
2005,2,25,4.3723,27.12,81.55,97.16,5.38,3.0
2005,2,26,4.1604,27.4,75.02,97.23,4.82,1.94
2005,2,27,4.0224,27.86,76.02,91.54,3.09,1.28
2005,2,28,5.5582,27.79,77.96,69.71,4.2,1.82
2005,3,1,5.1682,27.23,81.97,67.3,5.51,1.76
2005,3,2,5.0918,27.68,80.24,55.41,4.61,1.82
2005,3,3,4.8144,26.51,81.88,55.79,4.53,2.57
2005,3,4,4.6087,25.99,75.66,98.82,1.55,1.62
2005,3,5,4.8785,27.08,72.6,50.27,3.15,1.82
2005,3,6,4.6944,26.41,82.99,72.09,2.02,2.16
2005,3,7,5.125,27.81,74.51,46.52,1.55,1.0
2005,3,8,5.3844,27.66,76.83,56.65,1.88,1.1
2005,3,9,4.7395,26.97,83.69,93.27,3.49,1.72
2005,3,10,4.3853,27.23,73.92,99.25,1.59,2.5
2005,3,11,5.063,28.23,70.17,78.13,0.63,2.44
2005,3,12,5.5884,27.95,74.65,73.94,3.37,2.58
2005,3,13,3.6079,25.86,83.7,99.61,5.48,2.28
2005,3,14,4.5622,26.99,75.75,63.77,2.04,1.63
2005,3,15,5.7341,27.78,74.02,59.3,2.11,0.92
2005,3,16,5.2226,28.36,73.58,42.58,3.09,1.75
2005,3,17,4.9032,26.76,85.27,59.8,8.99,1.83
2005,3,18,5.6933,26.83,83.21,51.01,10.81,1.75
2005,3,19,5.1742,26.51,85.56,62.59,10.09,2.08
2005,3,20,5.0825,26.54,83.09,77.69,13.6,1.89
2005,3,21,5.041,26.86,79.18,81.71,2.7,2.15
2005,3,22,5.7684,27.22,78.35,60.32,2.94,2.1
2005,3,23,5.3957,25.65,87.99,68.22,7.42,1.83
2005,3,24,5.3112,26.25,83.99,77.6,14.85,1.78
2005,3,25,5.3083,27.58,76.63,61.67,3.09,1.08
2005,3,26,5.6112,26.31,86.29,58.46,4.52,1.87
2005,3,27,5.191,26.58,81.2,82.82,0.06,1.67
2005,3,28,6.4205,27.61,75.49,34.89,0.03,1.41
2005,3,29,6.3902,27.4,78.57,39.85,0.08,1.82
2005,3,30,5.6422,27.54,80.19,64.87,0.1,1.7
2005,3,31,5.7355,27.49,80.09,60.91,0.14,2.11
2005,4,1,5.2334,27.35,80.65,96.68,2.48,2.28
2005,4,2,5.1329,26.94,81.0,73.59,2.27,1.58
2005,4,3,6.1913,27.39,80.64,47.93,1.42,1.36
2005,4,4,6.211,26.95,81.6,61.93,1.75,1.58
2005,4,5,5.0306,28.36,75.64,88.46,2.03,1.69
2005,4,6,5.2282,28.36,78.09,55.66,3.1,1.94
2005,4,7,5.0738,27.55,83.51,63.1,2.56,2.0
2005,4,8,5.4137,27.13,84.56,65.07,2.05,2.2
2005,4,9,5.9695,27.01,81.56,58.01,2.09,2.27
2005,4,10,6.2918,26.71,85.8,53.62,2.7,1.61
2005,4,11,5.628,27.05,85.13,80.79,7.02,1.5
2005,4,12,5.3186,26.8,84.98,73.8,4.69,1.72
2005,4,13,5.1986,27.02,83.61,79.93,9.13,2.19
2005,4,14,5.2634,26.33,89.0,97.35,12.35,1.91
2005,4,15,3.7862,26.12,88.21,99.6,7.45,1.89
2005,4,16,6.7426,26.86,81.54,40.26,2.68,1.59
2005,4,17,6.5242,27.13,83.93,29.15,4.49,1.79
2005,4,18,5.3501,26.18,88.59,87.89,2.19,2.3
2005,4,19,5.2188,26.55,87.94,90.19,4.23,1.57
2005,4,20,4.4484,26.47,87.23,93.94,3.45,1.39
2005,4,21,5.9726,26.95,84.84,66.55,7.36,1.64
2005,4,22,5.227,26.37,88.81,90.13,10.29,1.96
2005,4,23,4.674,25.6,88.21,98.76,9.93,1.56
2005,4,24,4.6034,25.29,86.6,98.79,7.95,1.56
2005,4,25,5.5514,26.21,85.48,82.89,7.39,0.75
2005,4,26,4.1282,25.65,89.34,98.79,2.27,2.16
2005,4,27,5.2627,26.32,86.72,48.74,1.27,1.31
2005,4,28,4.2317,26.18,91.15,39.72,2.79,1.31
2005,4,29,4.3867,26.36,90.36,95.52,6.4,2.01
2005,4,30,6.2724,26.01,87.93,56.63,4.22,2.72
2005,5,1,4.1213,25.4,89.53,82.2,5.65,2.37
2005,5,2,5.8474,25.95,88.31,39.8,6.49,2.09
2005,5,3,5.4811,25.74,88.52,57.38,6.71,1.98
2005,5,4,5.0287,25.34,89.33,87.05,8.1,2.02
2005,5,5,4.7549,25.54,87.97,86.15,13.12,2.59
2005,5,6,4.979,24.54,91.33,86.2,13.47,1.84
2005,5,7,5.239,25.45,88.16,76.42,7.43,1.56
2005,5,8,4.3068,25.2,89.39,88.26,4.95,1.35
2005,5,9,5.0011,25.99,87.95,79.75,13.36,1.83
2005,5,10,4.8821,26.17,86.55,84.51,12.19,1.03
2005,5,11,6.0653,26.68,86.0,48.32,2.19,1.16
2005,5,12,5.3695,26.43,88.76,62.23,1.66,1.73
2005,5,13,5.5406,26.26,89.11,55.16,2.17,1.84
2005,5,14,5.5205,25.98,88.64,41.23,1.42,1.08
2005,5,15,5.1811,26.29,87.99,52.82,1.61,1.47
2005,5,16,5.4994,25.8,90.52,52.64,3.16,1.73
2005,5,17,5.123,25.72,90.09,76.23,3.81,1.63
2005,5,18,4.4767,25.94,88.61,72.45,2.22,1.18
2005,5,19,5.7912,26.27,87.37,35.86,1.72,1.62
2005,5,20,4.8329,26.63,86.79,75.77,2.31,1.54
2005,5,21,5.0419,26.4,87.91,43.55,1.19,1.59
2005,5,22,4.0716,26.05,88.49,74.01,2.47,2.06
2005,5,23,5.664,25.94,85.7,26.83,0.91,1.36
2005,5,24,5.4002,26.33,85.75,36.38,0.98,1.6
2005,5,25,5.441,26.02,87.16,46.55,1.28,1.87
2005,5,26,4.2586,25.44,90.99,90.75,13.09,2.41
2005,5,27,3.5606,25.6,87.17,73.42,6.72,1.73
2005,5,28,5.3285,25.63,87.48,49.78,7.96,2.07
2005,5,29,5.4725,25.66,87.29,54.78,9.71,2.26
2005,5,30,4.1083,25.25,89.76,78.1,15.64,2.2
2005,5,31,3.9175,24.83,89.6,94.43,14.74,1.93
2005,6,1,4.7249,25.4,87.18,67.4,5.65,1.41
2005,6,2,4.5259,25.72,87.72,58.3,11.6,1.57
2005,6,3,3.9953,25.46,89.58,88.03,13.61,1.75
2005,6,4,3.8167,25.3,90.33,98.13,26.66,1.68
2005,6,5,3.2544,23.98,95.08,95.12,13.1,2.14
2005,6,6,4.3608,24.76,90.66,79.27,6.42,1.81
2005,6,7,4.8821,25.77,88.31,50.42,3.36,2.07
2005,6,8,4.032,24.86,91.61,90.27,4.63,2.55
2005,6,9,4.9555,25.42,88.92,65.82,6.41,1.67
2005,6,10,4.675,24.75,91.35,69.61,2.22,1.89
2005,6,11,4.3404,25.21,90.19,85.06,6.2,1.49
2005,6,12,4.3164,25.08,89.61,77.74,4.17,1.69
2005,6,13,3.942,25.17,88.46,74.7,1.69,2.32
2005,6,14,4.2283,25.18,86.3,62.29,1.49,1.42
2005,6,15,3.0074,24.67,91.62,95.45,8.53,2.0
2005,6,16,4.6385,24.92,90.42,67.75,5.79,2.45
2005,6,17,5.0093,25.17,88.15,58.44,3.61,2.65
2005,6,18,4.2842,25.15,88.03,75.99,2.15,2.28
2005,6,19,5.2445,25.0,87.95,58.83,3.39,2.35
2005,6,20,4.8326,23.9,89.55,62.97,3.6,2.37
2005,6,21,4.7594,24.45,87.43,60.13,4.86,1.68
2005,6,22,4.6922,24.68,89.37,68.57,4.74,1.99
2005,6,23,3.8563,24.59,89.8,86.12,4.07,2.29
2005,6,24,3.7202,24.73,89.44,89.84,6.44,2.71
2005,6,25,2.9011,24.32,89.4,94.6,13.79,3.14
2005,6,26,2.797,23.95,89.46,99.41,10.05,2.39
2005,6,27,4.1196,23.92,88.72,87.74,7.18,1.98
2005,6,28,3.4483,24.51,87.86,91.6,3.41,1.82
2005,6,29,4.7534,23.69,91.27,57.13,3.89,2.21
2005,6,30,3.0262,24.54,87.09,95.92,0.78,2.76
2005,7,1,3.0917,24.44,86.82,86.21,0.72,2.46
2005,7,2,3.487,24.17,88.43,96.36,0.99,2.76
2005,7,3,3.2489,24.23,87.51,96.1,0.32,1.93
2005,7,4,4.5228,24.44,86.66,58.7,0.3,2.0
2005,7,5,3.587,24.43,86.29,87.15,0.07,2.33
2005,7,6,3.5335,23.78,86.67,85.34,0.18,2.65
2005,7,7,5.1737,23.98,85.81,45.85,0.05,2.01
2005,7,8,4.1729,24.41,85.69,67.97,0.14,2.33
2005,7,9,4.3927,23.61,88.27,78.93,0.21,2.68
2005,7,10,3.8239,23.98,87.41,93.94,2.59,2.09
2005,7,11,3.9655,24.5,83.5,60.73,1.06,1.06
2005,7,12,3.5702,24.7,85.7,68.72,1.46,1.81
2005,7,13,3.4958,24.62,86.4,88.58,2.06,2.43
2005,7,14,3.4406,23.52,91.7,93.65,7.08,2.1
2005,7,15,4.0954,24.57,87.22,64.05,3.78,1.24
2005,7,16,4.2053,23.99,91.41,73.02,4.89,1.47
2005,7,17,2.2171,24.43,90.53,89.85,5.81,2.19
2005,7,18,3.5868,23.94,90.15,91.5,6.49,3.01
2005,7,19,5.1602,22.65,86.98,61.19,0.48,1.82
2005,7,20,4.3205,22.47,86.02,88.73,1.62,1.85
2005,7,21,2.7103,23.36,90.08,97.89,1.98,2.3
2005,7,22,4.0318,24.5,85.92,83.09,1.5,2.15
2005,7,23,3.5172,24.07,87.41,85.15,1.08,2.05
2005,7,24,3.4145,24.1,86.54,78.07,0.85,2.27
2005,7,25,2.4458,23.75,88.55,99.6,2.72,2.58
2005,7,26,3.2851,24.18,86.98,83.63,2.28,3.01
2005,7,27,3.0622,24.11,87.49,86.98,1.4,2.42
2005,7,28,3.7726,24.65,86.42,85.93,3.4,2.97
2005,7,29,2.9834,23.87,88.09,93.57,4.16,3.15
2005,7,30,4.0858,24.02,84.68,72.52,0.13,2.89
2005,7,31,3.8849,24.18,82.85,72.16,0.03,2.43
2005,8,1,4.1194,24.65,81.73,73.08,0.02,2.34
2005,8,2,4.1114,24.35,81.38,83.41,0.04,2.58
2005,8,3,3.9554,24.5,80.18,78.18,0.04,2.27
2005,8,4,3.9485,24.77,80.09,75.46,0.13,1.78
2005,8,5,3.8575,24.68,80.82,84.04,0.15,2.52
2005,8,6,2.8229,24.74,79.99,97.13,0.1,3.09
2005,8,7,3.0125,24.77,79.4,89.94,0.09,2.92
2005,8,8,4.4124,24.94,78.32,73.41,0.09,3.04
2005,8,9,5.0443,24.85,78.32,60.91,0.36,2.35
2005,8,10,4.351,25.09,79.7,74.86,0.26,1.85
2005,8,11,2.5296,25.47,78.97,89.04,1.87,2.48
2005,8,12,2.2382,24.44,82.54,97.82,3.06,3.57
2005,8,13,3.3007,23.74,84.0,96.06,2.8,3.13
2005,8,14,3.6684,24.39,81.27,87.12,1.91,2.85
2005,8,15,3.9156,24.88,79.13,88.37,0.92,2.75
2005,8,16,3.5167,23.89,82.56,89.35,2.12,2.82
2005,8,17,2.8351,23.94,82.21,95.8,3.85,2.9
2005,8,18,3.1925,24.27,80.0,91.59,1.63,2.86
2005,8,19,5.2255,24.91,75.85,61.98,0.05,1.71
2005,8,20,4.525,24.79,75.74,79.48,0.65,2.04
2005,8,21,3.641,25.04,73.71,81.83,0.12,2.27
2005,8,22,3.9758,25.31,71.46,77.62,0.08,2.29
2005,8,23,2.7545,24.03,79.05,90.68,0.5,2.55
2005,8,24,3.7092,22.13,89.67,94.83,4.11,2.18
2005,8,25,3.3998,24.6,79.21,86.81,2.25,2.22
2005,8,26,3.4838,24.5,81.61,81.54,2.86,2.11
2005,8,27,3.1975,25.46,78.88,89.0,1.85,2.3
2005,8,28,4.0759,23.96,83.61,71.69,2.37,1.81
2005,8,29,2.3774,23.2,90.1,97.23,10.92,1.8
2005,8,30,4.0104,24.87,82.27,88.29,5.91,2.61
2005,8,31,3.8285,25.21,79.69,85.37,3.31,1.67
2005,9,1,3.924,24.84,82.23,72.57,6.96,1.68
2005,9,2,3.1488,25.02,81.81,89.24,2.68,2.16
2005,9,3,3.5086,25.51,80.1,74.01,2.96,2.37
2005,9,4,5.3774,24.59,82.48,52.7,2.04,1.6
2005,9,5,4.0099,24.57,84.95,77.64,4.47,1.58
