YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M
2005,1,1,5.6616,25.34,19.85,9.47,0.0,3.44
2005,1,2,5.8642,24.53,17.06,6.95,0.0,3.2
2005,1,3,5.8056,24.58,17.62,26.42,0.0,2.82
2005,1,4,5.4173,25.54,22.9,34.3,0.0,2.81
2005,1,5,4.9723,25.45,24.24,29.68,0.0,3.4
2005,1,6,5.0904,25.2,23.56,16.61,0.0,4.57
2005,1,7,4.0783,23.62,23.7,12.66,0.0,4.33
2005,1,8,4.0954,22.94,20.56,25.8,0.0,4.74
2005,1,9,4.919,21.51,19.66,27.21,0.0,4.17
2005,1,10,4.6421,21.78,20.82,48.19,0.0,3.95
2005,1,11,3.2299,21.62,22.74,87.58,0.0,3.75
2005,1,12,3.0418,21.45,22.94,86.05,0.0,3.27
2005,1,13,3.8633,22.18,18.9,30.4,0.0,3.37
2005,1,14,4.5101,22.15,19.07,76.09,0.0,2.87
2005,1,15,5.2128,23.15,17.44,46.51,0.0,2.33
2005,1,16,4.5948,24.36,18.94,54.59,0.0,2.79
2005,1,17,5.657,23.89,19.9,29.48,0.0,3.21
2005,1,18,5.5123,24.39,17.18,26.7,0.0,4.37
2005,1,19,5.9198,24.58,14.45,31.93,0.0,3.59
2005,1,20,5.946,24.99,10.52,52.81,0.0,3.17
2005,1,21,6.3646,25.01,10.51,27.98,0.0,3.33
2005,1,22,5.7202,25.03,13.03,70.66,0.0,2.82
2005,1,23,5.5325,25.19,17.29,33.4,0.0,2.71
2005,1,24,5.4982,25.8,20.33,31.97,0.0,2.97
2005,1,25,5.375,26.74,19.93,25.93,0.0,2.07
2005,1,26,5.3405,28.56,22.95,63.56,0.0,1.69
2005,1,27,4.5655,29.93,27.51,67.65,0.05,1.54
2005,1,28,5.179,29.61,48.3,60.39,0.27,1.6
2005,1,29,3.6466,29.67,36.9,83.07,0.08,1.9
2005,1,30,5.3189,28.49,21.51,50.18,0.0,3.31
2005,1,31,5.6964,28.67,19.04,23.14,0.0,3.79
2005,2,1,6.1843,28.35,18.32,18.33,0.0,4.24
2005,2,2,5.5339,28.9,20.32,37.98,0.0,3.23
2005,2,3,5.2622,29.75,20.19,21.7,0.0,1.37
2005,2,4,5.2958,28.82,18.75,5.7,0.0,2.48
2005,2,5,5.683,29.55,15.23,15.55,0.0,3.55
2005,2,6,5.2922,29.35,16.97,68.49,0.0,3.53
2005,2,7,5.191,29.14,36.42,71.53,0.0,1.88
2005,2,8,5.993,29.27,17.09,29.4,0.0,3.09
2005,2,9,5.4958,29.53,19.4,38.87,0.0,2.13
2005,2,10,5.2363,29.72,19.03,58.68,0.0,2.99
2005,2,11,5.3479,30.73,20.22,17.88,0.0,4.58
2005,2,12,4.6027,29.83,21.24,48.23,0.0,4.34
2005,2,13,4.2482,28.82,18.27,61.39,0.0,4.3
2005,2,14,4.307,28.21,16.01,73.26,0.0,3.01
2005,2,15,5.538,29.12,11.63,44.67,0.0,3.66
2005,2,16,6.0396,29.65,11.89,35.04,0.0,2.56
2005,2,17,5.4991,30.98,14.78,16.64,0.0,1.71
2005,2,18,5.1221,31.1,37.53,27.7,9.43,1.7
