YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M
2005,1,1,4.9068,26.45,86.51,52.21,4.91,1.43
2005,1,2,5.8013,26.14,76.13,9.03,1.27,1.27
2005,1,3,5.76,26.89,67.8,7.18,0.01,0.92
2005,1,4,5.3964,26.91,72.4,13.45,0.02,0.97
2005,1,5,4.0591,27.02,77.92,67.9,0.23,0.92
2005,1,6,4.9632,26.84,82.91,39.9,2.76,0.97
2005,1,7,4.4436,25.46,74.02,37.37,0.08,1.19
2005,1,8,3.4618,23.97,68.3,37.27,0.0,2.36
2005,1,9,3.9854,23.26,62.89,32.78,0.0,2.23
2005,1,10,4.7254,23.89,60.26,43.76,0.0,2.04
2005,1,11,4.0956,23.93,61.41,82.24,0.0,1.75
2005,1,12,3.5534,23.71,60.67,67.15,0.01,1.74
2005,1,13,3.8518,23.5,58.8,43.78,0.0,1.27
2005,1,14,4.0318,24.15,62.27,37.93,0.0,1.26
2005,1,15,4.6541,25.61,66.84,11.02,0.0,1.17
2005,1,16,4.3044,26.38,72.04,17.37,0.0,0.98
2005,1,17,4.5017,27.39,76.38,27.17,0.22,1.25
2005,1,18,4.8286,27.52,72.88,16.82,0.18,0.98
2005,1,19,5.1094,26.48,70.96,28.14,0.01,0.99
2005,1,20,5.0021,27.11,74.22,29.36,0.03,1.7
2005,1,21,5.4451,27.08,72.08,36.16,0.03,1.85
2005,1,22,5.6371,27.48,77.05,52.58,0.08,1.93
2005,1,23,5.706,27.97,76.88,31.65,0.07,1.45
2005,1,24,5.376,27.42,79.57,50.58,2.05,1.52
2005,1,25,1.8607,26.85,82.03,91.87,3.59,1.53
2005,1,26,5.6249,27.38,78.94,19.81,1.29,1.7
2005,1,27,5.4847,26.92,85.34,35.54,1.2,1.89
2005,1,28,5.5327,26.99,84.37,31.09,1.15,1.78
2005,1,29,6.2786,27.49,80.41,8.46,0.89,1.67
2005,1,30,5.232,27.5,81.31,43.27,2.25,1.76
2005,1,31,5.5231,26.82,84.53,60.97,1.64,1.35
2005,2,1,5.5219,28.04,77.3,28.84,0.47,1.4
2005,2,2,5.496,28.33,79.15,32.72,0.74,2.02
2005,2,3,6.0312,28.62,75.75,4.96,0.18,1.84
2005,2,4,5.7614,28.6,76.06,19.74,0.7,2.17
2005,2,5,4.6217,28.03,81.03,47.67,3.86,2.64
2005,2,6,3.3166,26.67,86.69,92.21,4.68,2.25
2005,2,7,5.9491,26.62,79.63,37.46,0.7,1.91
2005,2,8,5.3386,27.16,82.33,59.21,2.19,1.74
2005,2,9,5.2874,27.27,83.0,72.17,3.51,1.69
2005,2,10,6.1366,27.82,81.07,24.66,1.99,1.36
2005,2,11,5.4108,28.2,80.66,25.42,1.93,1.66
2005,2,12,5.1293,27.84,82.75,91.15,2.67,1.91
2005,2,13,4.8374,28.07,81.91,72.1,2.28,1.89
2005,2,14,5.203,28.03,80.59,28.81,2.14,1.94
2005,2,15,5.1917,28.35,79.37,32.67,1.23,1.81
2005,2,16,4.9726,28.01,82.23,35.95,1.25,1.82
2005,2,17,4.831,28.21,82.21,24.87,1.45,1.86
2005,2,18,4.6222,28.55,80.21,37.2,0.87,1.91
2005,2,19,4.9253,28.65,80.41,42.76,1.41,1.99
2005,2,20,5.2579,28.52,81.93,37.52,2.58,1.91
2005,2,21,4.5355,28.04,79.49,71.18,2.49,2.41
2005,2,22,5.4713,28.74,79.33,33.62,1.92,1.38
2005,2,23,5.4238,29.48,75.26,39.97,1.13,1.56
2005,2,24,4.9529,28.69,82.89,54.5,4.24,2.57
2005,2,25,4.6927,28.07,84.07,75.75,7.99,2.84
2005,2,26,2.2032,26.88,83.99,92.42,6.51,2.06
2005,2,27,3.4469,27.94,82.87,84.88,2.69,1.6
2005,2,28,5.6875,28.26,81.67,35.33,3.65,1.89
2005,3,1,5.8702,27.79,85.05,12.9,4.68,1.92
2005,3,2,6.3667,27.74,85.42,14.49,3.99,1.92
2005,3,3,5.5567,27.99,81.77,46.61,4.93,2.42
2005,3,4,3.1826,27.46,78.5,99.59,1.8,2.22
2005,3,5,5.7749,27.74,80.79,59.99,2.22,1.74
2005,3,6,4.7198,27.58,84.91,62.74,2.81,2.06
2005,3,7,5.7269,27.75,81.48,37.76,2.8,0.97
2005,3,8,5.8642,27.97,85.06,35.87,5.74,1.28
2005,3,9,2.5848,27.65,87.6,96.46,6.93,1.95
2005,3,10,4.2977,27.01,81.31,97.06,3.57,2.02
2005,3,11,5.4698,28.08,78.39,76.76,2.96,1.84
2005,3,12,6.2508,27.28,85.35,55.12,7.3,2.21
2005,3,13,2.34,26.29,88.33,99.34,9.04,2.21
2005,3,14,3.5873,26.37,84.25,86.39,6.0,1.21
2005,3,15,4.7287,27.2,85.04,67.57,2.87,1.19
2005,3,16,5.7382,27.75,86.54,24.13,3.33,1.66
2005,3,17,5.1086,27.26,89.32,50.16,10.42,1.7
2005,3,18,5.551,27.34,86.91,37.93,10.11,1.68
2005,3,19,5.4228,26.9,89.01,69.27,14.04,1.69
2005,3,20,4.1258,26.98,86.57,94.34,14.94,2.21
2005,3,21,5.2594,27.24,81.38,89.28,4.2,2.16
2005,3,22,5.5178,26.64,87.65,55.58,4.48,1.66
2005,3,23,4.0627,26.51,90.14,74.99,7.08,1.83
2005,3,24,2.4415,26.41,87.57,96.25,7.87,1.73
2005,3,25,6.2028,27.51,83.77,56.26,2.88,1.29
2005,3,26,5.9189,26.97,89.45,55.8,5.79,1.98
2005,3,27,4.7568,26.75,84.59,77.8,0.98,1.86
2005,3,28,6.655,27.36,83.21,20.97,0.42,1.14
2005,3,29,5.6957,27.68,84.98,57.25,0.97,1.6
2005,3,30,6.1397,27.71,86.95,27.84,1.99,1.82
2005,3,31,6.131,27.17,89.53,39.35,2.14,2.07
2005,4,1,5.8699,27.39,85.27,62.33,2.54,2.12
2005,4,2,5.7139,27.32,86.54,71.74,1.96,1.28
2005,4,3,6.3005,27.56,88.91,12.93,1.31,1.18
2005,4,4,6.0794,27.96,89.81,31.4,2.17,1.3
2005,4,5,5.3383,28.18,83.32,76.02,2.06,1.84
2005,4,6,5.5034,27.73,87.85,37.1,2.97,1.43
2005,4,7,5.4785,27.58,90.06,21.66,2.77,2.15
2005,4,8,5.6098,27.72,86.03,29.68,2.43,2.15
2005,4,9,5.759,27.09,88.77,21.17,1.55,1.8
2005,4,10,5.9707,27.44,89.41,28.22,2.03,1.57
2005,4,11,5.5154,27.48,89.36,60.72,6.23,1.89
2005,4,12,6.0221,27.31,89.19,31.7,5.7,1.75
2005,4,13,5.3186,27.2,86.57,60.05,8.28,2.07
2005,4,14,4.9397,27.22,90.06,83.59,9.23,1.54
2005,4,15,1.4042,26.84,87.83,99.24,6.13,1.79
2005,4,16,6.2306,27.3,84.03,52.65,2.59,1.41
2005,4,17,5.9225,27.43,87.35,43.6,3.93,1.92
2005,4,18,4.8329,27.24,89.16,76.57,3.51,2.12
2005,4,19,4.6889,27.48,87.88,81.72,3.41,1.31
2005,4,20,4.2746,27.16,88.29,89.26,4.29,1.26
2005,4,21,5.4502,27.14,90.88,68.03,12.77,1.93
2005,4,22,4.0982,26.95,90.53,83.01,14.35,1.97
2005,4,23,4.2612,26.54,92.09,96.55,26.42,1.72
2005,4,24,5.1583,26.56,87.91,95.9,11.96,1.21
2005,4,25,4.3162,26.86,88.12,97.54,8.39,0.98
2005,4,26,3.708,26.34,91.02,99.48,9.47,1.91
2005,4,27,5.6834,27.23,86.43,43.07,3.92,1.39
2005,4,28,4.7201,27.4,88.77,38.06,4.54,1.39
2005,4,29,3.6806,27.3,90.79,82.66,9.38,2.22
2005,4,30,4.0668,26.54,90.72,92.84,21.35,2.66
2005,5,1,3.9118,26.6,90.13,78.01,8.62,2.52
2005,5,2,5.413,26.66,89.49,47.88,8.38,2.06
2005,5,3,6.3713,26.56,88.19,19.81,8.3,2.07
2005,5,4,4.8161,26.3,88.79,62.41,10.21,2.23
2005,5,5,2.4276,26.26,86.98,87.95,16.31,2.34
2005,5,6,5.2142,26.07,88.49,64.12,9.09,2.44
2005,5,7,5.7761,26.59,84.83,48.06,3.31,2.24
2005,5,8,6.1632,26.73,82.41,36.17,0.29,1.82
2005,5,9,5.7566,26.72,85.63,47.61,7.87,2.03
2005,5,10,6.0043,27.15,85.57,43.26,9.77,1.45
2005,5,11,6.1438,27.17,85.61,33.56,1.77,1.18
2005,5,12,5.197,27.15,86.26,68.51,1.66,1.64
2005,5,13,5.6539,26.94,88.81,54.32,2.09,1.68
2005,5,14,6.1586,26.48,90.49,13.63,1.62,1.32
2005,5,15,5.8025,26.67,89.8,37.52,2.18,1.69
2005,5,16,4.3546,26.75,90.64,75.29,6.11,1.87
2005,5,17,3.2136,26.59,90.1,94.29,7.36,1.98
2005,5,18,3.9439,26.74,87.95,88.12,2.85,1.78
2005,5,19,5.682,26.93,86.22,43.43,2.25,1.95
2005,5,20,5.8282,27.16,85.46,26.27,2.37,1.7
2005,5,21,5.7497,26.85,86.09,30.55,1.13,1.67
2005,5,22,2.6393,26.64,87.63,71.16,2.29,2.04
2005,5,23,4.583,26.57,86.65,70.82,1.68,1.82
2005,5,24,6.1954,26.9,86.04,11.83,1.34,1.92
2005,5,25,5.2757,26.7,87.39,31.25,2.07,2.06
2005,5,26,3.4399,26.25,89.94,74.42,15.08,2.32
2005,5,27,4.7232,26.27,87.39,59.57,4.22,1.95
2005,5,28,5.322,26.27,85.78,50.17,6.65,2.14
2005,5,29,4.8754,26.13,87.27,65.85,12.88,2.51
2005,5,30,3.1726,25.87,89.1,89.77,17.88,2.38
2005,5,31,2.7619,25.57,89.11,98.08,11.75,2.13
2005,6,1,5.7818,25.93,85.66,43.1,3.14,2.01
2005,6,2,5.7218,26.0,85.44,35.57,3.16,2.06
2005,6,3,4.8002,25.86,88.16,67.88,12.49,2.38
2005,6,4,4.6339,25.92,88.42,79.8,25.91,2.61
2005,6,5,1.6358,25.16,92.89,97.55,21.05,2.62
2005,6,6,4.1818,25.59,89.95,84.62,9.7,2.07
2005,6,7,5.2042,26.04,88.52,33.9,3.62,2.23
2005,6,8,5.2613,25.57,89.78,43.92,3.03,2.48
2005,6,9,5.3609,26.0,86.65,72.51,1.6,2.25
2005,6,10,4.2958,25.68,88.57,67.15,4.13,2.13
2005,6,11,4.2461,25.8,90.09,82.04,8.4,1.97
2005,6,12,4.9584,25.54,90.43,78.7,8.28,1.95
2005,6,13,5.5478,25.54,87.18,46.03,2.13,2.41
2005,6,14,5.1286,25.67,85.04,35.37,0.57,1.86
2005,6,15,2.1607,25.35,88.98,94.7,9.49,2.58
2005,6,16,4.0814,25.18,88.59,78.75,8.55,2.51
2005,6,17,5.5661,25.34,88.55,46.13,4.41,2.26
2005,6,18,5.6443,25.29,88.16,45.25,2.74,2.41
2005,6,19,5.7074,24.98,87.36,58.11,3.14,2.51
2005,6,20,5.1002,24.38,84.92,55.25,2.25,2.45
2005,6,21,5.5536,24.94,83.72,29.89,1.08,1.83
2005,6,22,3.5467,24.73,88.54,67.82,5.45,2.19
2005,6,23,5.1818,24.71,90.65,53.41,5.94,2.21
2005,6,24,4.4962,24.57,90.5,74.16,4.37,2.49
2005,6,25,3.7229,24.24,89.82,70.04,11.82,2.83
2005,6,26,3.8386,23.92,89.46,85.21,7.87,2.32
2005,6,27,3.1656,23.81,88.95,98.19,2.68,2.19
2005,6,28,3.4142,24.23,88.8,82.07,2.42,1.98
2005,6,29,4.891,23.92,91.34,65.87,3.82,2.1
2005,6,30,1.6186,24.09,89.97,96.47,10.86,2.57
2005,7,1,3.5664,23.72,90.64,97.2,5.94,2.2
2005,7,2,3.2849,24.02,88.89,98.22,4.68,2.53
2005,7,3,4.7796,24.16,87.53,87.31,3.16,2.03
2005,7,4,5.8788,24.43,85.74,41.16,0.51,1.74
2005,7,5,5.0321,24.17,87.03,60.21,0.69,2.4
2005,7,6,4.1942,23.77,88.68,67.26,0.79,2.0
2005,7,7,5.5298,24.33,86.4,23.73,0.28,1.49
2005,7,8,4.9934,24.39,87.32,48.54,0.38,2.05
2005,7,9,5.0198,23.94,88.38,64.86,0.7,2.34
2005,7,10,5.6515,23.69,89.7,41.9,2.13,1.93
2005,7,11,5.9618,24.33,87.21,29.26,0.23,1.26
2005,7,12,4.9831,24.6,88.21,50.2,1.0,1.96
2005,7,13,3.509,24.45,89.01,56.91,2.25,2.23
2005,7,14,4.0939,24.41,89.49,67.96,5.9,1.87
2005,7,15,5.7146,24.75,89.28,38.48,5.1,1.59
2005,7,16,5.8416,24.79,89.91,26.79,4.15,1.6
2005,7,17,4.7527,24.85,90.09,71.38,7.53,2.22
2005,7,18,5.5562,24.36,86.73,66.95,4.62,2.8
2005,7,19,5.9801,23.48,84.33,36.76,0.02,1.7
2005,7,20,4.3375,23.48,87.2,53.09,1.49,1.91
2005,7,21,3.9929,23.95,87.98,86.5,5.84,2.42
2005,7,22,5.2327,24.3,87.53,80.48,1.02,2.01
2005,7,23,4.0404,24.38,86.9,90.96,1.17,2.03
2005,7,24,4.6843,23.61,88.36,72.74,0.73,2.01
2005,7,25,2.6758,24.0,87.85,98.57,2.34,2.42
2005,7,26,3.955,24.01,89.02,85.08,1.56,2.26
2005,7,27,4.5595,23.91,91.13,84.62,6.11,1.87
2005,7,28,3.48,24.14,90.82,75.85,4.07,2.31
2005,7,29,4.7539,23.78,89.67,68.84,1.8,2.51
2005,7,30,6.1366,23.68,87.57,23.69,0.65,2.13
2005,7,31,4.3562,23.69,87.01,41.19,0.24,2.01
2005,8,1,6.3218,23.94,85.91,20.19,0.21,1.83
2005,8,2,5.9626,23.7,84.42,41.03,0.15,1.95
2005,8,3,6.1094,23.78,85.74,20.96,0.11,1.59
2005,8,4,5.7838,23.77,86.5,15.67,0.02,1.61
2005,8,5,6.0026,23.62,86.81,34.38,1.27,1.99
2005,8,6,4.4594,23.68,86.22,83.19,0.4,2.33
2005,8,7,4.9776,23.42,86.78,74.04,0.72,2.11
2005,8,8,5.9287,23.66,87.51,42.39,0.53,2.03
2005,8,9,5.6686,23.55,87.44,43.54,0.44,1.93
2005,8,10,4.0246,23.93,86.31,74.14,0.37,1.74
2005,8,11,3.5131,23.7,87.53,93.03,0.66,1.96
2005,8,12,3.5878,23.53,89.24,99.44,2.97,2.59
2005,8,13,4.4633,22.96,91.56,82.75,3.39,1.85
2005,8,14,4.5727,23.55,88.22,84.43,1.85,1.91
2005,8,15,6.0185,23.68,87.95,52.02,0.97,1.9
2005,8,16,4.4916,23.45,86.16,68.91,0.73,2.23
2005,8,17,3.5129,23.25,86.89,77.28,2.0,2.25
2005,8,18,5.101,23.46,85.34,75.01,3.04,2.05
2005,8,19,6.5446,24.03,80.59,16.96,0.17,1.65
2005,8,20,5.4782,23.78,81.37,32.91,0.27,2.03
2005,8,21,5.0774,23.84,79.57,43.63,0.17,1.96
2005,8,22,5.5987,23.92,77.89,38.86,0.02,1.91
2005,8,23,4.6334,23.55,83.27,79.32,1.43,2.17
2005,8,24,4.188,22.87,89.22,81.57,4.89,1.99
2005,8,25,4.4796,24.21,83.76,72.96,0.78,1.96
2005,8,26,4.9332,24.52,84.82,43.89,0.97,1.91
2005,8,27,6.1361,24.61,84.73,44.7,1.78,2.08
2005,8,28,5.3568,24.64,83.9,37.75,1.47,2.03
2005,8,29,3.6312,23.6,90.35,93.78,13.43,2.19
2005,8,30,4.2115,24.15,87.43,91.25,2.54,2.25
2005,8,31,5.3496,24.26,86.02,54.25,0.65,1.79
2005,9,1,3.7234,23.77,88.77,61.37,3.54,1.99
2005,9,2,4.2468,24.4,86.33,66.61,1.5,1.96
2005,9,3,4.055,24.48,86.82,81.12,2.99,1.86
2005,9,4,6.2462,25.06,82.37,27.08,0.45,1.6
2005,9,5,4.1299,24.51,86.17,43.03,2.58,2.13
2005,9,6,4.835,24.48,85.34,75.08,2.89,2.5
2005,9,7,6.4298,24.89,82.2,42.42,0.57,1.97
2005,9,8,5.3659,24.45,84.28,41.6,1.15,1.67
2005,9,9,4.8286,24.68,86.83,60.78,2.28,2.07
2005,9,10,3.5088,25.27,84.17,68.02,1.33,2.24
2005,9,11,5.5181,25.1,84.36,51.24,1.35,2.27
2005,9,12,3.8734,25.07,83.38,68.72,1.93,2.12
2005,9,13,5.8193,25.35,81.04,35.0,0.24,1.73
2005,9,14,6.0907,25.45,80.83,37.98,0.35,1.93
2005,9,15,4.632,25.43,80.76,55.99,0.34,2.23
2005,9,16,4.6243,25.48,78.94,65.4,0.33,2.06
2005,9,17,5.7737,26.03,77.71,61.44,0.21,2.07
2005,9,18,6.0643,26.02,79.8,48.44,0.98,2.12
2005,9,19,3.7723,25.91,80.87,71.95,1.4,2.24
2005,9,20,5.1446,25.69,81.21,61.34,2.29,2.63
2005,9,21,5.8241,25.48,81.6,56.84,2.41,2.3
2005,9,22,6.1673,25.85,81.36,48.38,1.91,2.15
2005,9,23,4.7424,25.88,83.87,63.8,9.51,2.2
2005,9,24,4.8158,24.94,89.81,94.3,11.88,2.88
2005,9,25,5.3525,24.63,89.96,90.51,12.37,2.27
2005,9,26,5.124,24.84,90.3,86.17,16.39,2.06
2005,9,27,4.2518,24.86,92.56,95.86,23.24,2.31
2005,9,28,4.7016,24.66,93.08,72.13,12.17,2.83
2005,9,29,5.2622,24.96,91.19,57.73,11.49,2.18
2005,9,30,4.8782,24.89,90.57,66.53,5.59,1.82
2005,10,1,6.1392,25.31,87.87,35.52,3.39,1.99
2005,10,2,6.1154,25.36,86.86,33.71,3.63,2.11
2005,10,3,6.4831,25.23,86.73,41.82,5.0,2.15
2005,10,4,5.9827,25.08,87.84,62.65,11.3,2.04
2005,10,5,5.4778,24.72,90.84,78.81,11.63,1.31
2005,10,6,5.9405,25.69,84.29,57.78,2.6,1.07
2005,10,7,5.9002,25.43,89.83,39.56,9.96,2.32
2005,10,8,5.1118,24.73,90.06,54.49,12.67,2.26
2005,10,9,5.3455,25.11,89.34,65.01,8.21,1.88
2005,10,10,4.7878,25.16,90.16,83.73,13.4,2.11
2005,10,11,5.7062,25.49,87.8,54.02,6.99,1.73
2005,10,12,5.3479,25.82,86.8,51.23,7.31,1.58
2005,10,13,6.481,25.56,88.23,18.6,4.17,1.93
2005,10,14,5.6717,25.62,88.1,48.82,5.24,2.07
2005,10,15,6.0962,25.7,87.47,37.09,4.26,1.69
2005,10,16,6.0679,25.74,89.63,27.65,5.49,1.63
2005,10,17,6.0098,25.7,89.11,17.37,6.15,1.61
2005,10,18,6.3134,25.57,90.45,41.45,7.14,1.74
2005,10,19,6.2146,25.51,91.66,39.72,11.35,1.51
2005,10,20,5.8646,25.62,90.92,52.31,13.81,1.89
2005,10,21,2.041,25.29,92.27,94.08,12.74,2.35
2005,10,22,4.3819,25.78,88.38,76.93,9.72,2.2
2005,10,23,6.3362,26.06,86.61,28.67,8.81,1.42
2005,10,24,6.277,26.22,87.1,35.07,8.65,1.83
2005,10,25,5.1089,25.83,89.24,79.69,17.96,1.57
2005,10,26,5.9366,25.69,89.29,40.68,14.46,1.37
2005,10,27,6.3324,25.83,87.63,14.75,7.45,1.76
2005,10,28,6.1973,25.95,87.11,20.66,6.37,1.8
2005,10,29,6.1296,26.12,87.35,47.8,6.83,1.29
2005,10,30,5.9652,25.9,88.65,39.43,6.87,1.35
2005,10,31,5.8205,25.98,89.18,20.98,6.25,1.84
2005,11,1,2.6846,25.66,90.85,91.4,13.9,1.76
2005,11,2,4.7126,25.65,88.59,60.57,4.07,1.39
2005,11,3,5.4319,25.82,89.22,60.87,12.16,1.37
2005,11,4,5.4646,25.38,89.78,65.83,8.99,1.55
2005,11,5,2.8181,24.89,91.92,88.29,12.64,1.26
2005,11,6,6.1848,25.9,84.99,38.31,2.01,0.8
2005,11,7,6.3638,26.51,85.22,9.75,1.04,1.07
2005,11,8,5.8951,26.71,85.09,21.16,1.5,1.42
2005,11,9,5.9849,26.67,84.67,30.48,1.23,1.52
2005,11,10,5.7912,26.68,85.25,36.18,1.98,1.39
2005,11,11,5.6232,26.54,86.75,26.46,2.08,1.65
2005,11,12,5.9911,26.43,85.88,12.29,0.95,1.47
2005,11,13,4.2929,26.42,86.47,82.37,3.21,1.57
2005,11,14,5.7382,26.49,85.89,14.51,2.4,1.49
2005,11,15,5.1168,26.51,87.28,33.76,2.79,1.71
2005,11,16,5.3302,26.5,88.11,40.88,3.68,2.02
2005,11,17,5.1545,26.43,87.87,41.04,1.33,1.78
2005,11,18,5.7317,26.75,85.81,14.84,0.46,1.38
2005,11,19,4.8007,26.62,86.06,39.04,0.99,1.48
