YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M
2005,1,1,5.4614,24.97,40.66,17.86,0.0,2.61
2005,1,2,5.9016,23.8,36.74,6.53,0.0,2.85
2005,1,3,5.8891,23.4,36.12,18.88,0.0,2.76
2005,1,4,5.2498,24.34,41.33,20.08,0.0,2.35
2005,1,5,4.7993,24.31,45.65,4.06,0.0,2.74
2005,1,6,5.1941,23.93,42.29,8.2,0.0,4.12
2005,1,7,3.6118,22.38,41.16,6.3,0.0,3.9
2005,1,8,3.8592,21.66,38.35,11.99,0.0,4.13
2005,1,9,4.7952,20.31,38.82,13.06,0.0,3.6
2005,1,10,4.9042,20.34,41.48,39.6,0.0,3.42
2005,1,11,3.1092,20.86,40.66,79.31,0.0,3.39
2005,1,12,3.2088,20.47,41.66,95.6,0.0,3.09
2005,1,13,3.9648,20.43,42.26,45.55,0.0,2.67
2005,1,14,3.8542,19.91,42.39,62.82,0.0,2.42
2005,1,15,4.5922,21.61,40.22,40.97,0.0,1.95
2005,1,16,5.1535,22.11,41.1,24.87,0.0,2.2
2005,1,17,5.3503,23.18,40.49,2.67,0.0,2.88
2005,1,18,5.4218,22.75,35.92,8.37,0.0,3.82
2005,1,19,5.406,22.84,33.41,16.57,0.0,3.31
2005,1,20,5.1828,23.11,34.84,40.04,0.0,2.25
2005,1,21,6.0427,23.61,29.87,40.04,0.0,2.71
2005,1,22,4.2086,23.73,30.73,86.01,0.0,2.38
2005,1,23,5.2742,25.21,41.92,12.35,0.0,1.55
2005,1,24,5.2637,26.65,52.8,16.57,1.04,1.53
2005,1,25,5.1365,27.74,55.14,44.68,1.09,1.03
2005,1,26,5.1638,28.35,53.63,67.45,0.15,1.02
2005,1,27,4.3039,28.59,59.4,79.14,0.26,2.7
2005,1,28,4.0025,27.75,66.3,79.49,0.64,2.1
2005,1,29,4.3601,29.03,56.84,64.97,0.26,1.41
2005,1,30,5.6494,27.74,37.12,32.26,0.0,2.65
2005,1,31,5.8433,26.89,38.96,31.43,0.0,2.21
2005,2,1,5.958,26.29,34.73,8.81,0.0,3.64
2005,2,2,5.196,26.65,39.34,36.49,0.0,2.17
2005,2,3,5.5978,28.96,56.75,6.89,0.19,1.36
2005,2,4,5.3966,29.77,51.26,15.18,0.39,1.47
2005,2,5,5.6926,29.74,29.37,19.51,0.05,1.54
2005,2,6,4.3656,28.8,40.23,86.97,0.02,2.82
2005,2,7,4.8394,28.46,57.27,66.79,0.02,1.9
2005,2,8,5.4706,30.11,48.3,53.18,0.17,1.07
2005,2,9,4.8845,30.16,58.04,53.16,0.18,1.01
2005,2,10,5.1727,30.01,47.31,60.79,0.0,1.74
2005,2,11,5.8692,29.28,32.17,19.88,0.03,2.81
2005,2,12,5.3892,29.52,37.5,43.17,0.05,2.69
