Site,Horizon,Model,RMSE,MAE,R2,N
Navrongo,1-day,Persistence,1.207,0.813,-0.338,730
Navrongo,1-day,Climatology,0.981,0.734,0.115,730
Navrongo,1-day,DHR,0.939,0.686,0.189,730
Navrongo,7-day,Persistence,1.329,0.94,-0.623,730
Navrongo,7-day,Climatology,0.981,0.734,0.115,730
Navrongo,7-day,DHR,0.959,0.72,0.154,730
Tamale,1-day,Persistence,1.111,0.771,-0.241,730
Tamale,1-day,Climatology,0.928,0.695,0.135,730
Tamale,1-day,DHR,0.882,0.655,0.218,730
Tamale,7-day,Persistence,1.257,0.908,-0.588,730
Tamale,7-day,Climatology,0.928,0.695,0.135,730
Tamale,7-day,DHR,0.905,0.686,0.178,730
Kumasi,1-day,Persistence,0.911,0.647,-0.26,730
Kumasi,1-day,Climatology,0.717,0.538,0.22,730
Kumasi,1-day,DHR,0.699,0.509,0.259,730
Kumasi,7-day,Persistence,0.98,0.714,-0.458,730
Kumasi,7-day,Climatology,0.717,0.538,0.22,730
Kumasi,7-day,DHR,0.709,0.524,0.238,730
Accra,1-day,Persistence,1.133,0.777,-0.567,730
Accra,1-day,Climatology,0.883,0.639,0.048,730
Accra,1-day,DHR,0.863,0.625,0.091,730
Accra,7-day,Persistence,1.24,0.87,-0.876,730
Accra,7-day,Climatology,0.883,0.639,0.048,730
Accra,7-day,DHR,0.874,0.638,0.067,730
Takoradi,1-day,Persistence,1.257,0.885,-0.452,730
Takoradi,1-day,Climatology,1.033,0.791,0.018,730
Takoradi,1-day,DHR,0.992,0.749,0.095,730
Takoradi,7-day,Persistence,1.487,1.102,-1.032,730
Takoradi,7-day,Climatology,1.033,0.791,0.018,730
Takoradi,7-day,DHR,1.023,0.781,0.037,730
