site,season,_day_type,n,share
accra,harmattan_dry,high,262,0.14515235457063713
accra,harmattan_dry,low,31,0.017174515235457065
accra,harmattan_dry,moderate,1512,0.8376731301939058
accra,major_wet,high,945,0.38729508196721313
accra,major_wet,low,308,0.12622950819672132
accra,major_wet,moderate,1187,0.4864754098360656
accra,minor_dry,high,136,0.10967741935483871
accra,minor_dry,low,218,0.17580645161290323
accra,minor_dry,moderate,886,0.714516129032258
accra,minor_wet,high,554,0.30439560439560437
accra,minor_wet,low,103,0.056593406593406594
accra,minor_wet,moderate,1163,0.639010989010989
kumasi,harmattan_dry,high,206,0.11412742382271468
kumasi,harmattan_dry,low,13,0.007202216066481994
kumasi,harmattan_dry,moderate,1586,0.8786703601108034
kumasi,major_wet,high,740,0.30327868852459017
kumasi,major_wet,low,145,0.05942622950819672
kumasi,major_wet,moderate,1555,0.6372950819672131
kumasi,minor_dry,high,24,0.01935483870967742
kumasi,minor_dry,low,314,0.2532258064516129
kumasi,minor_dry,moderate,902,0.7274193548387097
kumasi,minor_wet,high,151,0.08296703296703296
kumasi,minor_wet,low,122,0.06703296703296703
kumasi,minor_wet,moderate,1547,0.85
navrongo,harmattan_dry,high,1151,0.6376731301939058
navrongo,harmattan_dry,low,16,0.00886426592797784
navrongo,harmattan_dry,moderate,638,0.35346260387811634
navrongo,major_wet,high,1730,0.7090163934426229
navrongo,major_wet,low,107,0.043852459016393446
navrongo,major_wet,moderate,603,0.24713114754098361
navrongo,minor_dry,high,460,0.3709677419354839
navrongo,minor_dry,low,155,0.125
navrongo,minor_dry,moderate,625,0.5040322580645161
navrongo,minor_wet,high,1093,0.6005494505494505
navrongo,minor_wet,low,90,0.04945054945054945
navrongo,minor_wet,moderate,637,0.35
takoradi,harmattan_dry,high,348,0.192797783933518
takoradi,harmattan_dry,low,85,0.04709141274238227
takoradi,harmattan_dry,moderate,1372,0.7601108033240997
takoradi,major_wet,high,982,0.4024590163934426
takoradi,major_wet,low,413,0.16926229508196722
takoradi,major_wet,moderate,1045,0.42827868852459017
takoradi,minor_dry,high,351,0.2830645161290323
takoradi,minor_dry,low,134,0.10806451612903226
takoradi,minor_dry,moderate,755,0.6088709677419355
takoradi,minor_wet,high,891,0.48956043956043954
takoradi,minor_wet,low,111,0.06098901098901099
takoradi,minor_wet,moderate,818,0.44945054945054946
tamale,harmattan_dry,high,718,0.39778393351800556
tamale,harmattan_dry,low,20,0.0110803324099723
tamale,harmattan_dry,moderate,1067,0.5911357340720221
tamale,major_wet,high,1550,0.6352459016393442
tamale,major_wet,low,123,0.05040983606557377
tamale,major_wet,moderate,767,0.31434426229508194
tamale,minor_dry,high,229,0.18467741935483872
tamale,minor_dry,low,196,0.15806451612903225
tamale,minor_dry,moderate,815,0.657258064516129
tamale,minor_wet,high,891,0.48956043956043954
tamale,minor_wet,low,117,0.06428571428571428
tamale,minor_wet,moderate,812,0.4461538461538462
