Site,Variable,Mean,SD,Min,Median,Max
Navrongo,T2M,27.57,3.02,18.1,26.84,36.14
Navrongo,RH2M,57.97,24.05,6.46,61.79,94.99
Navrongo,CLOUD_AMT,51.59,30.74,0.0,54.91,99.94
Navrongo,PRECTOTCORR,2.97,5.9,0.0,0.44,115.04
Navrongo,WS2M,2.16,0.83,0.4,2.06,5.48
Tamale,T2M,27.27,2.3,18.67,27.04,34.45
Tamale,RH2M,67.15,17.35,13.15,72.02,94.49
Tamale,CLOUD_AMT,55.05,30.84,0.0,61.48,99.88
Tamale,PRECTOTCORR,3.01,4.94,0.0,1.23,71.69
Tamale,WS2M,1.95,0.71,0.46,1.88,4.97
Kumasi,T2M,25.68,1.38,19.73,25.54,32.14
Kumasi,RH2M,81.28,10.41,22.11,85.31,95.28
Kumasi,CLOUD_AMT,65.91,24.66,0.4,70.94,99.95
Kumasi,PRECTOTCORR,4.26,6.25,0.0,2.35,151.59
Kumasi,WS2M,1.65,0.53,0.41,1.59,3.67
Accra,T2M,26.58,1.35,22.53,26.92,30.13
Accra,RH2M,84.84,5.04,51.04,85.51,94.55
Accra,CLOUD_AMT,59.79,25.87,0.51,62.37,99.95
Accra,PRECTOTCORR,3.44,4.8,0.0,1.92,110.47
Accra,WS2M,2.68,0.58,0.99,2.69,4.94
Takoradi,T2M,26.22,1.24,22.64,26.37,30.75
Takoradi,RH2M,84.88,5.45,46.17,86.26,94.28
Takoradi,CLOUD_AMT,56.21,26.11,2.83,56.93,99.86
Takoradi,PRECTOTCORR,4.32,5.41,0.0,2.68,143.26
Takoradi,WS2M,1.78,0.4,0.5,1.78,3.55
