Site,Tier (kWh/mo),Rule battery (kWh),Achieved LOLP,Achieved LPSP,Required @5% (kWh),Required @1% (kWh),Rule vs 5% need (%),Rule vs 1% need (%)
Navrongo,100,8.2,0.0,0.0,0.7,2.2,1073.4,273.3
Navrongo,200,16.4,0.0,0.0,1.4,4.3,1073.4,282.0
Navrongo,300,24.6,0.0,0.0,2.1,6.4,1073.4,285.0
Tamale,100,8.2,0.0,0.0,1.0,2.6,721.4,215.9
Tamale,200,16.4,0.0,0.0,2.0,5.2,721.4,215.9
Tamale,300,24.6,0.0,0.0,3.0,7.8,721.4,215.9
Kumasi,100,8.2,0.0267,0.0039,3.1,16.2,165.0,-49.3
Kumasi,200,16.4,0.0267,0.0039,6.2,32.4,165.0,-49.3
Kumasi,300,24.6,0.0267,0.0039,9.3,48.6,165.0,-49.3
Accra,100,8.2,0.0027,0.0004,1.8,5.5,356.3,49.3
Accra,200,16.4,0.0027,0.0004,3.6,10.9,356.3,50.7
Accra,300,24.6,0.0027,0.0004,5.3,16.4,364.9,50.2
Takoradi,100,8.2,0.0066,0.0017,2.1,6.2,291.1,32.5
Takoradi,200,16.4,0.0066,0.0017,4.2,12.3,291.1,33.6
Takoradi,300,24.6,0.0066,0.0017,6.3,18.5,291.1,33.2
