Site,Tier (kWh/mo),LOLP target,Battery (kWh nominal),LOLP point,LOLP MBB 95% CI
Navrongo,100,0.01,2.2,0.0093,"[0.0063, 0.0125]"
Navrongo,100,0.05,0.7,0.0497,"[0.0412, 0.0575]"
Navrongo,200,0.01,4.3,0.0096,"[0.0066, 0.0127]"
Navrongo,200,0.05,1.4,0.0497,"[0.0412, 0.0575]"
Navrongo,300,0.01,6.4,0.0096,"[0.0066, 0.0127]"
Navrongo,300,0.05,2.1,0.0497,"[0.0412, 0.0575]"
Tamale,100,0.01,2.6,0.0099,"[0.0063, 0.0140]"
Tamale,100,0.05,1.0,0.05,"[0.0412, 0.0586]"
Tamale,200,0.01,5.2,0.0099,"[0.0063, 0.0140]"
Tamale,200,0.05,2.0,0.05,"[0.0412, 0.0586]"
Tamale,300,0.01,7.8,0.0099,"[0.0063, 0.0140]"
Tamale,300,0.05,3.0,0.05,"[0.0412, 0.0586]"
Kumasi,100,0.01,16.2,0.01,"[0.0030, 0.0182]"
Kumasi,100,0.05,3.1,0.05,"[0.0350, 0.0665]"
Kumasi,200,0.01,32.4,0.01,"[0.0030, 0.0182]"
Kumasi,200,0.05,6.2,0.05,"[0.0350, 0.0665]"
Kumasi,300,0.01,48.6,0.01,"[0.0030, 0.0182]"
Kumasi,300,0.05,9.3,0.05,"[0.0350, 0.0665]"
Accra,100,0.01,5.5,0.01,"[0.0059, 0.0146]"
Accra,100,0.05,1.8,0.0487,"[0.0389, 0.0593]"
Accra,200,0.01,10.9,0.01,"[0.0059, 0.0146]"
Accra,200,0.05,3.6,0.0487,"[0.0389, 0.0593]"
Accra,300,0.01,16.4,0.01,"[0.0059, 0.0146]"
Accra,300,0.05,5.3,0.0498,"[0.0401, 0.0605]"
Takoradi,100,0.01,6.2,0.0099,"[0.0053, 0.0152]"
Takoradi,100,0.05,2.1,0.0493,"[0.0400, 0.0604]"
Takoradi,200,0.01,12.3,0.01,"[0.0053, 0.0153]"
Takoradi,200,0.05,4.2,0.0493,"[0.0400, 0.0604]"
Takoradi,300,0.01,18.5,0.01,"[0.0053, 0.0153]"
Takoradi,300,0.05,6.3,0.0493,"[0.0400, 0.0604]"
