site,horizon,units,n_layers,dropout,tune_rmse,best_epoch,train_s
navrongo,1-day,32,1,0.0,0.9376,30,22.4
navrongo,1-day,32,1,0.2,0.9457,39,22.2
navrongo,1-day,32,2,0.0,0.9357,20,27.5
navrongo,1-day,32,2,0.2,0.9354,29,38.4
navrongo,1-day,64,1,0.0,0.945,21,27.6
navrongo,1-day,64,1,0.2,0.9404,23,33.5
navrongo,1-day,64,2,0.0,0.9385,15,49.1
navrongo,1-day,64,2,0.2,0.9353,15,57.5
navrongo,1-day,128,1,0.0,0.9463,13,52.9
navrongo,1-day,128,1,0.2,0.9411,16,52.0
navrongo,1-day,128,2,0.0,0.9445,6,60.1
navrongo,1-day,128,2,0.2,0.9399,10,80.1
tamale,1-day,32,1,0.0,0.8883,25,15.8
tamale,1-day,32,1,0.2,0.8868,34,19.4
tamale,1-day,32,2,0.0,0.8847,9,17.5
tamale,1-day,32,2,0.2,0.8773,20,27.0
tamale,1-day,64,1,0.0,0.8834,25,22.5
tamale,1-day,64,1,0.2,0.8768,32,29.0
tamale,1-day,64,2,0.0,0.866,18,42.8
tamale,1-day,64,2,0.2,0.8628,27,60.9
tamale,1-day,128,1,0.0,0.869,27,60.8
tamale,1-day,128,1,0.2,0.8628,32,66.0
tamale,1-day,128,2,0.0,0.8748,14,94.4
tamale,1-day,128,2,0.2,0.8591,15,114.0
kumasi,1-day,32,1,0.0,0.678,61,30.6
kumasi,1-day,32,1,0.2,0.6662,74,36.6
kumasi,1-day,32,2,0.0,0.6686,38,42.7
kumasi,1-day,32,2,0.2,0.6601,36,43.2
kumasi,1-day,64,1,0.0,0.6663,41,36.4
kumasi,1-day,64,1,0.2,0.6638,53,53.4
kumasi,1-day,64,2,0.0,0.6699,15,45.0
kumasi,1-day,64,2,0.2,0.6649,23,58.5
kumasi,1-day,128,1,0.0,0.6685,24,55.0
kumasi,1-day,128,1,0.2,0.6638,56,123.8
kumasi,1-day,128,2,0.0,0.6644,8,72.5
kumasi,1-day,128,2,0.2,0.6655,12,103.4
accra,1-day,32,1,0.0,0.8496,7,9.0
accra,1-day,32,1,0.2,0.8475,13,10.6
accra,1-day,32,2,0.0,0.8366,14,23.2
accra,1-day,32,2,0.2,0.8344,20,29.0
accra,1-day,64,1,0.0,0.84,8,12.8
accra,1-day,64,1,0.2,0.8289,9,14.7
accra,1-day,64,2,0.0,0.83,7,39.1
accra,1-day,64,2,0.2,0.8218,7,30.6
accra,1-day,128,1,0.0,0.8417,5,22.3
