,Navrongo,Tamale,Kumasi,Accra,Takoradi
ALLSKY_SFC_SW_DWN,0.109,0.076,0.071,0.063,0.14
ghi_lag1,0.04,0.04,0.028,0.034,0.04
ghi_lag2,0.034,0.034,0.032,0.047,0.043
ghi_lag3,0.041,0.032,0.025,0.033,0.048
ghi_lag4,0.031,0.03,0.027,0.035,0.039
ghi_lag5,0.03,0.028,0.024,0.034,0.041
ghi_lag6,0.031,0.032,0.024,0.034,0.039
ghi_roll7,0.055,0.237,0.277,0.108,0.054
ghi_roll30,0.118,0.139,0.206,0.094,0.049
T2M,0.046,0.034,0.026,0.054,0.052
RH2M,0.047,0.036,0.026,0.065,0.061
CLOUD_AMT,0.052,0.048,0.027,0.053,0.071
PRECTOTCORR,0.159,0.054,0.034,0.067,0.11
WS2M,0.04,0.034,0.036,0.083,0.056
doy_sin,0.076,0.06,0.057,0.053,0.049
doy_cos,0.092,0.086,0.08,0.143,0.107
