Site,Model,Horizon,Refit_s
Navrongo,Random forest,1-day,1.5
Navrongo,XGBoost,1-day,3.2
Tamale,Random forest,1-day,3.4
Tamale,XGBoost,1-day,0.4
Kumasi,Random forest,1-day,1.9
Kumasi,XGBoost,1-day,0.5
Accra,Random forest,1-day,2.3
Accra,XGBoost,1-day,0.4
Takoradi,Random forest,1-day,1.8
Takoradi,XGBoost,1-day,3.4
Navrongo,Random forest,7-day,1.5
Navrongo,XGBoost,7-day,0.4
Tamale,Random forest,7-day,1.4
Tamale,XGBoost,7-day,0.4
Kumasi,Random forest,7-day,1.4
Kumasi,XGBoost,7-day,0.4
Accra,Random forest,7-day,1.4
Accra,XGBoost,7-day,0.4
Takoradi,Random forest,7-day,1.4
Takoradi,XGBoost,7-day,3.5
Navrongo,LSTM,1-day,16.1
Tamale,LSTM,1-day,13.9
Kumasi,LSTM,1-day,29.1
Accra,LSTM,1-day,7.4
Takoradi,LSTM,1-day,7.2
Navrongo,LSTM,7-day,10.5
Tamale,LSTM,7-day,11.1
Kumasi,LSTM,7-day,17.2
Accra,LSTM,7-day,6.4
Takoradi,LSTM,7-day,5.6
