,Navrongo,Tamale,Kumasi,Accra,Takoradi
ALLSKY_SFC_SW_DWN,0.1144,0.1495,0.1046,0.0713,0.14
ghi_lag1,0.0198,0.0243,0.0235,0.0159,0.0124
ghi_lag2,0.0069,0.0103,0.0297,0.0196,0.02
ghi_lag3,0.0079,0.0142,0.0102,0.0148,0.0277
ghi_lag4,0.006,0.0073,0.0117,0.0114,0.0117
ghi_lag5,0.0078,0.0101,0.0059,0.0113,0.0111
ghi_lag6,0.0092,0.0106,0.0084,0.0107,0.0085
ghi_roll7,0.0436,0.0883,0.1268,0.0534,0.044
ghi_roll30,0.0684,0.1555,0.1251,0.0848,0.0402
T2M,0.0184,0.0138,0.016,0.0256,0.0241
RH2M,0.0459,0.0212,0.0071,0.0706,0.0495
CLOUD_AMT,0.0243,0.0251,0.0127,0.0364,0.0937
PRECTOTCORR,0.1252,0.0699,0.0236,0.0847,0.1281
WS2M,0.009,0.0162,0.0328,0.0861,0.0545
doy_sin,0.0647,0.0593,0.0772,0.0447,0.0457
doy_cos,0.0348,0.0949,0.0722,0.1109,0.0959
