site,season,ALLSKY_SFC_SW_DWN,ghi_lag1,ghi_lag2,ghi_lag3,ghi_lag4,ghi_lag5,ghi_lag6,ghi_roll7,ghi_roll30,T2M,RH2M,CLOUD_AMT,PRECTOTCORR,WS2M,doy_sin,doy_cos
navrongo,wet,0.1174,0.0207,0.0067,0.0085,0.0057,0.0087,0.0093,0.0419,0.0681,0.0169,0.0419,0.0182,0.1229,0.0096,0.0664,0.0442
navrongo,dry,0.1103,0.0186,0.007,0.0072,0.0063,0.0064,0.009,0.0459,0.0689,0.0204,0.0514,0.0328,0.1284,0.0082,0.0623,0.0216
tamale,wet,0.1446,0.0224,0.0106,0.0145,0.0081,0.0117,0.0102,0.087,0.1599,0.0121,0.023,0.0226,0.0764,0.0186,0.0597,0.109
tamale,dry,0.1564,0.0269,0.0099,0.0138,0.0061,0.0079,0.0112,0.09,0.1493,0.0163,0.0187,0.0285,0.0609,0.0128,0.0587,0.0752
kumasi,wet,0.1002,0.0263,0.035,0.0092,0.0137,0.0067,0.0098,0.1213,0.1245,0.0153,0.0069,0.0106,0.0252,0.0345,0.0852,0.0723
kumasi,dry,0.1107,0.0196,0.0222,0.0117,0.009,0.0048,0.0064,0.1345,0.126,0.017,0.0074,0.0157,0.0215,0.0305,0.0661,0.0722
accra,wet,0.0689,0.0163,0.0236,0.0149,0.0143,0.0134,0.0122,0.0538,0.0821,0.0277,0.0677,0.03,0.1044,0.0908,0.0501,0.1306
accra,dry,0.0746,0.0153,0.0139,0.0147,0.0072,0.0084,0.0084,0.0529,0.0886,0.0226,0.0746,0.0454,0.0572,0.0794,0.0372,0.0834
takoradi,wet,0.1341,0.0146,0.0247,0.0315,0.0151,0.0142,0.0101,0.0463,0.0421,0.0272,0.0514,0.0993,0.1568,0.0642,0.0505,0.1182
takoradi,dry,0.1484,0.0095,0.0135,0.0224,0.007,0.0067,0.0063,0.0408,0.0377,0.0196,0.0467,0.0858,0.0879,0.0409,0.0389,0.0645
