Site,Array multiple,Array (kWp),LOLP target,Battery (kWh nominal)
Navrongo,1.0,2.19,0.01,4.3
Navrongo,1.0,2.19,0.05,1.4
Navrongo,1.1,2.41,0.01,3.4
Navrongo,1.1,2.41,0.05,0.4
Navrongo,1.2,2.63,0.01,2.8
Navrongo,1.2,2.63,0.05,0.1
Navrongo,1.3,2.85,0.01,2.3
Navrongo,1.3,2.85,0.05,0.1
Navrongo,1.4,3.07,0.01,1.8
Navrongo,1.4,3.07,0.05,0.1
Navrongo,1.5,3.29,0.01,1.3
Navrongo,1.5,3.29,0.05,0.1
Tamale,1.0,2.19,0.01,5.2
Tamale,1.0,2.19,0.05,2.0
Tamale,1.1,2.41,0.01,4.0
Tamale,1.1,2.41,0.05,1.0
Tamale,1.2,2.63,0.01,3.2
Tamale,1.2,2.63,0.05,0.2
Tamale,1.3,2.85,0.01,2.7
Tamale,1.3,2.85,0.05,0.1
Tamale,1.4,3.07,0.01,2.3
Tamale,1.4,3.07,0.05,0.1
Tamale,1.5,3.29,0.01,1.8
Tamale,1.5,3.29,0.05,0.1
Kumasi,1.0,2.19,0.01,32.4
Kumasi,1.0,2.19,0.05,6.2
Kumasi,1.1,2.41,0.01,5.3
Kumasi,1.1,2.41,0.05,1.4
Kumasi,1.2,2.63,0.01,2.8
Kumasi,1.2,2.63,0.05,0.3
Kumasi,1.3,2.85,0.01,1.7
Kumasi,1.3,2.85,0.05,0.1
Kumasi,1.4,3.07,0.01,1.0
Kumasi,1.4,3.07,0.05,0.1
Kumasi,1.5,3.29,0.01,0.4
Kumasi,1.5,3.29,0.05,0.1
Accra,1.0,2.19,0.01,10.9
Accra,1.0,2.19,0.05,3.6
Accra,1.1,2.41,0.01,5.5
Accra,1.1,2.41,0.05,2.0
Accra,1.2,2.63,0.01,4.2
Accra,1.2,2.63,0.05,1.0
Accra,1.3,2.85,0.01,3.4
Accra,1.3,2.85,0.05,0.1
Accra,1.4,3.07,0.01,2.8
Accra,1.4,3.07,0.05,0.1
Accra,1.5,3.29,0.01,2.4
Accra,1.5,3.29,0.05,0.1
Takoradi,1.0,2.19,0.01,12.3
Takoradi,1.0,2.19,0.05,4.2
Takoradi,1.1,2.41,0.01,7.0
Takoradi,1.1,2.41,0.05,2.7
Takoradi,1.2,2.63,0.01,5.6
Takoradi,1.2,2.63,0.05,1.7
Takoradi,1.3,2.85,0.01,5.0
Takoradi,1.3,2.85,0.05,0.9
Takoradi,1.4,3.07,0.01,4.5
Takoradi,1.4,3.07,0.05,0.3
Takoradi,1.5,3.29,0.01,4.1
Takoradi,1.5,3.29,0.05,0.1
