Site,Tier (kWh/mo),PR,LOLP target,Battery (kWh nominal)
Navrongo,100,0.7,0.01,2.6
Navrongo,100,0.7,0.05,1.1
Navrongo,100,0.75,0.01,2.2
Navrongo,100,0.75,0.05,0.7
Navrongo,100,0.8,0.01,1.8
Navrongo,100,0.8,0.05,0.4
Navrongo,200,0.7,0.01,5.2
Navrongo,200,0.7,0.05,2.2
Navrongo,200,0.75,0.01,4.3
Navrongo,200,0.75,0.05,1.4
Navrongo,200,0.8,0.01,3.6
Navrongo,200,0.8,0.05,0.7
Navrongo,300,0.7,0.01,7.8
Navrongo,300,0.7,0.05,3.2
Navrongo,300,0.75,0.01,6.4
Navrongo,300,0.75,0.05,2.1
Navrongo,300,0.8,0.01,5.4
Navrongo,300,0.8,0.05,1.0
Tamale,100,0.7,0.01,4.3
Tamale,100,0.7,0.05,1.7
Tamale,100,0.75,0.01,2.6
Tamale,100,0.75,0.05,1.0
Tamale,100,0.8,0.01,2.2
Tamale,100,0.8,0.05,0.7
Tamale,200,0.7,0.01,8.6
Tamale,200,0.7,0.05,3.3
Tamale,200,0.75,0.01,5.2
Tamale,200,0.75,0.05,2.0
Tamale,200,0.8,0.01,4.3
Tamale,200,0.8,0.05,1.3
Tamale,300,0.7,0.01,12.8
Tamale,300,0.7,0.05,5.0
Tamale,300,0.75,0.01,7.8
Tamale,300,0.75,0.05,3.0
Tamale,300,0.8,0.01,6.4
Tamale,300,0.8,0.05,2.0
Kumasi,100,0.7,0.01,38.1
Kumasi,100,0.7,0.05,20.7
Kumasi,100,0.75,0.01,16.2
Kumasi,100,0.75,0.05,3.1
Kumasi,100,0.8,0.01,4.7
Kumasi,100,0.8,0.05,1.0
Kumasi,200,0.7,0.01,76.2
Kumasi,200,0.7,0.05,41.3
Kumasi,200,0.75,0.01,32.4
Kumasi,200,0.75,0.05,6.2
Kumasi,200,0.8,0.01,9.4
Kumasi,200,0.8,0.05,2.0
Kumasi,300,0.7,0.01,114.3
Kumasi,300,0.7,0.05,61.9
Kumasi,300,0.75,0.01,48.6
Kumasi,300,0.75,0.05,9.3
Kumasi,300,0.8,0.01,14.0
Kumasi,300,0.8,0.05,3.0
Accra,100,0.7,0.01,17.6
Accra,100,0.7,0.05,3.5
Accra,100,0.75,0.01,5.5
Accra,100,0.75,0.05,1.8
Accra,100,0.8,0.01,3.3
Accra,100,0.8,0.05,1.2
Accra,200,0.7,0.01,35.2
Accra,200,0.7,0.05,6.9
Accra,200,0.75,0.01,10.9
Accra,200,0.75,0.05,3.6
Accra,200,0.8,0.01,6.5
Accra,200,0.8,0.05,2.4
Accra,300,0.7,0.01,52.7
Accra,300,0.7,0.05,10.3
Accra,300,0.75,0.01,16.4
Accra,300,0.75,0.05,5.3
Accra,300,0.8,0.01,9.7
Accra,300,0.8,0.05,3.6
Takoradi,100,0.7,0.01,12.8
Takoradi,100,0.7,0.05,3.1
Takoradi,100,0.75,0.01,6.2
Takoradi,100,0.75,0.05,2.1
Takoradi,100,0.8,0.01,4.2
Takoradi,100,0.8,0.05,1.6
Takoradi,200,0.7,0.01,25.5
Takoradi,200,0.7,0.05,6.1
Takoradi,200,0.75,0.01,12.3
Takoradi,200,0.75,0.05,4.2
Takoradi,200,0.8,0.01,8.3
Takoradi,200,0.8,0.05,3.1
Takoradi,300,0.7,0.01,38.2
Takoradi,300,0.7,0.05,9.1
Takoradi,300,0.75,0.01,18.5
Takoradi,300,0.75,0.05,6.3
Takoradi,300,0.8,0.01,12.4
Takoradi,300,0.8,0.05,4.6
