Site,Zone,Tier (kWh/mo),LOLP target,Array (kWp),Battery (kWh nominal),Autonomy (days),Achieved LOLP,LPSP,EENS (kWh/yr)
Navrongo,sudan_savannah,100,0.01,1.1,2.2,0.54,0.0093,0.0008,1.0
Navrongo,sudan_savannah,100,0.05,1.1,0.7,0.17,0.0497,0.0083,9.9
Navrongo,sudan_savannah,200,0.01,2.19,4.3,0.52,0.0096,0.0009,2.2
Navrongo,sudan_savannah,200,0.05,2.19,1.4,0.17,0.0497,0.0083,19.8
Navrongo,sudan_savannah,300,0.01,3.29,6.4,0.52,0.0096,0.001,3.5
Navrongo,sudan_savannah,300,0.05,3.29,2.1,0.17,0.0497,0.0083,29.7
Tamale,guinea_savannah,100,0.01,1.1,2.6,0.63,0.0099,0.0014,1.7
Tamale,guinea_savannah,100,0.05,1.1,1.0,0.24,0.05,0.0085,10.2
Tamale,guinea_savannah,200,0.01,2.19,5.2,0.63,0.0099,0.0014,3.3
Tamale,guinea_savannah,200,0.05,2.19,2.0,0.24,0.05,0.0085,20.3
Tamale,guinea_savannah,300,0.01,3.29,7.8,0.63,0.0099,0.0014,5.0
Tamale,guinea_savannah,300,0.05,3.29,3.0,0.24,0.05,0.0085,30.5
Kumasi,forest,100,0.01,1.1,16.2,3.94,0.01,0.0015,1.7
Kumasi,forest,100,0.05,1.1,3.1,0.75,0.05,0.0067,8.1
Kumasi,forest,200,0.01,2.19,32.4,3.94,0.01,0.0015,3.5
Kumasi,forest,200,0.05,2.19,6.2,0.75,0.05,0.0067,16.2
Kumasi,forest,300,0.01,3.29,48.6,3.94,0.01,0.0015,5.2
Kumasi,forest,300,0.05,3.29,9.3,0.75,0.05,0.0067,24.2
Accra,coastal_savannah,100,0.01,1.1,5.5,1.34,0.01,0.0015,1.8
Accra,coastal_savannah,100,0.05,1.1,1.8,0.44,0.0487,0.0079,9.5
Accra,coastal_savannah,200,0.01,2.19,10.9,1.33,0.01,0.0015,3.6
Accra,coastal_savannah,200,0.05,2.19,3.6,0.44,0.0487,0.0079,19.1
Accra,coastal_savannah,300,0.01,3.29,16.4,1.33,0.01,0.0015,5.4
Accra,coastal_savannah,300,0.05,3.29,5.3,0.43,0.0498,0.0081,29.2
Takoradi,coastal,100,0.01,1.1,6.2,1.51,0.0099,0.0027,3.3
Takoradi,coastal,100,0.05,1.1,2.1,0.51,0.0493,0.0102,12.3
Takoradi,coastal,200,0.01,2.19,12.3,1.5,0.01,0.0027,6.6
Takoradi,coastal,200,0.05,2.19,4.2,0.51,0.0493,0.0102,24.5
Takoradi,coastal,300,0.01,3.29,18.5,1.5,0.01,0.0027,9.9
Takoradi,coastal,300,0.05,3.29,6.3,0.51,0.0493,0.0102,36.8
